,End_Region,Start_Region,feature_classification,feature_end,feature_length,feature_start,feature_subtype_index,feature_type,feature_type_index
0,,,5'-UTR,110734454,4630.0,110729824,1,5'-UTR,1
1,5'-UTR,5'-UTR,Exon from 5'-UTR to 5'-UTR,110729929,105.0,110729824,1,Exon,1
2,5'-UTR,5'-UTR,Intron from 5'-UTR to 5'-UTR,110734402,4473.0,110729929,1,Intron,1
0,,,Splice Junction Exon from 5'-UTR to 5'-UTR to Intron from 5'-UTR to 5'-UTR,110729929,,110729929,1,Splice Junction ,1
0,,,Splice Junction Intron from 5'-UTR to 5'-UTR to Exon from 5'-UTR to Coding_Region,110734403,,110734402,1,Splice Junction ,2
3,Coding_Region,5'-UTR,Exon from 5'-UTR to Coding_Region,110734542,139.0,110734403,1,Exon,3
0,,,Translation_Start,110734454,,110734454,1,Translation_Start,1
4,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,110764193,29651.0,110734542,1,Intron,2
0,,,Splice Junction Exon from 5'-UTR to Coding_Region to Intron from Coding_Region to Coding_Region,110734542,,110734542,1,Splice Junction ,3
0,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,110764194,,110764193,1,Splice Junction ,4
5,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,110764280,86.0,110764194,1,Exon,4
6,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,110765356,1076.0,110764280,2,Intron,3
0,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,110764280,,110764280,1,Splice Junction ,5
1,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,110765357,,110765356,2,Splice Junction ,6
7,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,110765822,465.0,110765357,2,Exon,5
1,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,110765822,,110765822,2,Splice Junction ,7
8,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,110770400,4578.0,110765822,3,Intron,4
2,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,110770401,,110770400,3,Splice Junction ,8
9,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,110770490,89.0,110770401,3,Exon,6
2,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,110770490,,110770490,3,Splice Junction ,9
10,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,110770984,494.0,110770490,4,Intron,5
3,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,110770985,,110770984,4,Splice Junction ,10
11,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,110771088,103.0,110770985,4,Exon,7
3,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,110771088,,110771088,4,Splice Junction ,11
12,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,110771815,727.0,110771088,5,Intron,6
4,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,110771816,,110771815,5,Splice Junction ,12
13,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,110771948,132.0,110771816,5,Exon,8
4,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,110771948,,110771948,5,Splice Junction ,13
14,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,110777084,5136.0,110771948,6,Intron,7
5,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,110777085,,110777084,6,Splice Junction ,14
15,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,110777208,123.0,110777085,6,Exon,9
16,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,110777306,98.0,110777208,7,Intron,8
5,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,110777208,,110777208,6,Splice Junction ,15
6,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,110777307,,110777306,7,Splice Junction ,16
17,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,110777526,219.0,110777307,7,Exon,10
6,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,110777526,,110777526,7,Splice Junction ,17
18,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,110778462,936.0,110777526,8,Intron,9
7,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,110778463,,110778462,8,Splice Junction ,18
19,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,110778799,336.0,110778463,8,Exon,11
7,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,110778799,,110778799,8,Splice Junction ,19
20,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,110780031,1232.0,110778799,9,Intron,10
8,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,110780032,,110780031,9,Splice Junction ,20
21,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,110780253,221.0,110780032,9,Exon,12
22,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,110781035,782.0,110780253,10,Intron,11
8,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,110780253,,110780253,9,Splice Junction ,21
9,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,110781036,,110781035,10,Splice Junction ,22
23,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,110781239,203.0,110781036,10,Exon,13
24,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,110782689,1450.0,110781239,11,Intron,12
9,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,110781239,,110781239,10,Splice Junction ,23
10,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,110782690,,110782689,11,Splice Junction ,24
25,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,110782776,86.0,110782690,11,Exon,14
10,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,110782776,,110782776,11,Splice Junction ,25
26,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,110783052,276.0,110782776,12,Intron,13
11,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,110783053,,110783052,12,Splice Junction ,26
27,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,110783187,134.0,110783053,12,Exon,15
11,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,110783187,,110783187,12,Splice Junction ,27
28,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,110783804,617.0,110783187,13,Intron,14
12,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,110783805,,110783804,13,Splice Junction ,28
29,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,110783923,118.0,110783805,13,Exon,16
12,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,110783923,,110783923,13,Splice Junction ,29
30,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,110784004,81.0,110783923,14,Intron,15
0,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to 3'-UTR,110784005,,110784004,1,Splice Junction ,30
31,3'-UTR,Coding_Region,Exon from Coding_Region to 3'-UTR,110788897,4892.0,110784005,1,Exon,2
0,,,Translation_End,110784275,,110784275,1,Translation_End,1
32,,,3'-UTR,110788897,4622.0,110784275,1,3'-UTR,1
