,feature_classification,feature_end,feature_length,feature_start,feature_subtype_index,feature_type,feature_type_index
0,Exon in a ncRNA,33169653,502.0,33169151,1.0,Exon,1
0,Splice Junction Exon in a ncRNA to Intron in a ncRNA,33169653,,33169653,,Splice Junction ,1
1,Intron in a ncRNA,33185852,16199.0,33169653,1.0,Intron,1
1,Splice Junction Intron in a ncRNA to Exon in a ncRNA,33185853,,33185852,,Splice Junction ,2
2,Exon in a ncRNA,33185976,123.0,33185853,2.0,Exon,2
2,Splice Junction Exon in a ncRNA to Intron in a ncRNA,33185976,,33185976,,Splice Junction ,3
3,Intron in a ncRNA,33192311,6335.0,33185976,2.0,Intron,2
3,Splice Junction Intron in a ncRNA to Exon in a ncRNA,33192312,,33192311,,Splice Junction ,4
4,Exon in a ncRNA,33192463,151.0,33192312,3.0,Exon,3
4,Splice Junction Exon in a ncRNA to Intron in a ncRNA,33192463,,33192463,,Splice Junction ,5
5,Intron in a ncRNA,33195248,2785.0,33192463,3.0,Intron,3
5,Splice Junction Intron in a ncRNA to Exon in a ncRNA,33195249,,33195248,,Splice Junction ,6
6,Exon in a ncRNA,33195314,65.0,33195249,4.0,Exon,4
6,Splice Junction Exon in a ncRNA to Intron in a ncRNA,33195314,,33195314,,Splice Junction ,7
7,Intron in a ncRNA,33217088,21774.0,33195314,4.0,Intron,4
7,Splice Junction Intron in a ncRNA to Exon in a ncRNA,33217089,,33217088,,Splice Junction ,8
8,Exon in a ncRNA,33217203,114.0,33217089,5.0,Exon,5
8,Splice Junction Exon in a ncRNA to Intron in a ncRNA,33217203,,33217203,,Splice Junction ,9
9,Intron in a ncRNA,33296846,79643.0,33217203,5.0,Intron,5
9,Splice Junction Intron in a ncRNA to Exon in a ncRNA,33296847,,33296846,,Splice Junction ,10
10,Exon in a ncRNA,33297022,175.0,33296847,6.0,Exon,6
10,Splice Junction Exon in a ncRNA to Intron in a ncRNA,33297022,,33297022,,Splice Junction ,11
11,Intron in a ncRNA,33303900,6878.0,33297022,6.0,Intron,6
11,Splice Junction Intron in a ncRNA to Exon in a ncRNA,33303901,,33303900,,Splice Junction ,12
12,Exon in a ncRNA,33303986,85.0,33303901,7.0,Exon,7
12,Splice Junction Exon in a ncRNA to Intron in a ncRNA,33303986,,33303986,,Splice Junction ,13
13,Intron in a ncRNA,33312622,8636.0,33303986,7.0,Intron,7
13,Splice Junction Intron in a ncRNA to Exon in a ncRNA,33312623,,33312622,,Splice Junction ,14
14,Exon in a ncRNA,33312807,184.0,33312623,8.0,Exon,8
14,Splice Junction Exon in a ncRNA to Intron in a ncRNA,33312807,,33312807,,Splice Junction ,15
15,Intron in a ncRNA,33313437,630.0,33312807,8.0,Intron,8
15,Splice Junction Intron in a ncRNA to Exon in a ncRNA,33313438,,33313437,,Splice Junction ,16
16,Exon in a ncRNA,33313568,130.0,33313438,9.0,Exon,9
16,Splice Junction Exon in a ncRNA to Intron in a ncRNA,33313568,,33313568,,Splice Junction ,17
17,Intron in a ncRNA,33376051,62483.0,33313568,9.0,Intron,9
17,Splice Junction Intron in a ncRNA to Exon in a ncRNA,33376052,,33376051,,Splice Junction ,18
18,Exon in a ncRNA,33376234,182.0,33376052,10.0,Exon,10
18,Splice Junction Exon in a ncRNA to Intron in a ncRNA,33376234,,33376234,,Splice Junction ,19
19,Intron in a ncRNA,33380507,4273.0,33376234,10.0,Intron,10
19,Splice Junction Intron in a ncRNA to Exon in a ncRNA,33380508,,33380507,,Splice Junction ,20
20,Exon in a ncRNA,33380585,77.0,33380508,11.0,Exon,11
20,Splice Junction Exon in a ncRNA to Intron in a ncRNA,33380585,,33380585,,Splice Junction ,21
21,Intron in a ncRNA,33384191,3606.0,33380585,11.0,Intron,11
21,Splice Junction Intron in a ncRNA to Exon in a ncRNA,33384192,,33384191,,Splice Junction ,22
22,Exon in a ncRNA,33384246,54.0,33384192,12.0,Exon,12
22,Splice Junction Exon in a ncRNA to Intron in a ncRNA,33384246,,33384246,,Splice Junction ,23
23,Intron in a ncRNA,33385837,1591.0,33384246,12.0,Intron,12
23,Splice Junction Intron in a ncRNA to Exon in a ncRNA,33385838,,33385837,,Splice Junction ,24
24,Exon in a ncRNA,33385982,144.0,33385838,13.0,Exon,13
24,Splice Junction Exon in a ncRNA to Intron in a ncRNA,33385982,,33385982,,Splice Junction ,25
25,Intron in a ncRNA,33388678,2696.0,33385982,13.0,Intron,13
25,Splice Junction Intron in a ncRNA to Exon in a ncRNA,33388679,,33388678,,Splice Junction ,26
