,End_Region,Start_Region,feature_classification,feature_end,feature_length,feature_start,feature_subtype_index,feature_type,feature_type_index
0,,,5'-UTR,90398627.0,111148.0,90287479.0,1,5'-UTR,1
1,5'-UTR,5'-UTR,Exon from 5'-UTR to 5'-UTR,90287744.0,265.0,90287479.0,1,Exon,1
0,,,Splice Junction Exon from 5'-UTR to 5'-UTR to Intron from 5'-UTR to 5'-UTR,90287744.0,,90287744.0,1,Splice Junction ,1
2,5'-UTR,5'-UTR,Intron from 5'-UTR to 5'-UTR,90309195.0,21451.0,90287744.0,1,Intron,1
0,,,Splice Junction Intron from 5'-UTR to 5'-UTR to Exon from 5'-UTR to 5'-UTR,90309196.0,,90309195.0,1,Splice Junction ,2
3,5'-UTR,5'-UTR,Exon from 5'-UTR to 5'-UTR,90309341.0,145.0,90309196.0,2,Exon,2
1,,,Splice Junction Exon from 5'-UTR to 5'-UTR to Intron from 5'-UTR to 5'-UTR,90309341.0,,90309341.0,2,Splice Junction ,3
4,5'-UTR,5'-UTR,Intron from 5'-UTR to 5'-UTR,90398624.0,89283.0,90309341.0,2,Intron,2
0,,,Splice Junction Intron from 5'-UTR to 5'-UTR to Exon from 5'-UTR to 3'-UTR,90398625.0,,90398624.0,1,Splice Junction ,4
5,3'-UTR,5'-UTR,Exon from 5'-UTR to 3'-UTR,90401989.0,3364.0,90398625.0,1,Exon,3
0,,,Translation_Start,90398627.0,,90398627.0,1,Translation_Start,1
0,,,Translation_End,90401204.0,,90401204.0,1,Translation_End,1
6,,,3'-UTR,90401989.0,785.0,90401204.0,1,3'-UTR,1
