,start_coord,end_coord,translation_status,dataset,count,length
0,7982,15502,Non coding,IonXpress_NONO_c,2,7520
1,7982,15502,Non coding,IonXpress_SFPQt1,5,7520
2,8472,13448,Non coding,IonXpress_NONO_c,2,4976
3,8472,13448,Non coding,IonXpress_SFPQt1,4,4976
4,11231,13977,Non coding,IonXpress_NONO_c,1,2746
5,11231,13977,Non coding,IonXpress_SFPQt1,3,2746
6,1229309,1230799,Protein coding,IonXpress_NONO_c,10,1490
7,1230979,1245904,Protein coding,IonXpress_NONO_c,10,14925
8,1246087,1262889,Protein coding,IonXpress_NONO_c,10,16802
9,1263059,1279634,Protein coding,IonXpress_NONO_c,10,16575
10,1279787,1284192,Protein coding,IonXpress_NONO_c,10,4405
11,1284362,1313148,Protein coding,IonXpress_NONO_c,10,28786
12,1313264,1405221,Protein coding,IonXpress_NONO_c,10,91957
13,1406112,1421267,Protein coding,IonXpress_NONO_c,10,15155
14,1421355,1779243,Protein coding,IonXpress_NONO_c,10,357888
15,1801663,1802433,Protein coding,IonXpress_NONO_c,1,770
16,1802488,1814451,Protein coding,IonXpress_NONO_c,1,11963
17,1814575,1815963,Protein coding,IonXpress_NONO_c,1,1388
18,2227668,2227796,Protein coding,IonXpress_SFPQt1,1,128
19,2227872,2227981,Protein coding,IonXpress_SFPQt1,1,109
20,2228123,2228596,Protein coding,IonXpress_SFPQt1,1,473
21,2228714,2232635,Protein coding,IonXpress_SFPQt1,1,3921
22,2232769,2233807,Protein coding,IonXpress_SFPQt1,1,1038
23,2233919,2234239,Protein coding,IonXpress_SFPQt1,1,320
24,2234403,2235461,Protein coding,IonXpress_SFPQt1,1,1058
25,2235653,2236253,Protein coding,IonXpress_SFPQt1,1,600
26,2236418,2236849,Protein coding,IonXpress_SFPQt1,1,431
27,2237010,2237764,Protein coding,IonXpress_SFPQt1,1,754
28,2238190,2238552,Protein coding,IonXpress_SFPQt1,1,362
29,2238688,2238803,Protein coding,IonXpress_SFPQt1,1,115
