,feature_end,feature_start,feature_type
0,122098436,122095351,5'-UTR
1,122407052,122363471,3'-UTR
2,122098523,122095351,Exon
3,122104730,122104613,Exon
4,122106294,122106087,Exon
5,122120876,122120747,Exon
6,122122860,122122669,Exon
7,122125407,122125163,Exon
8,122135225,122135074,Exon
9,122139900,122139783,Exon
10,122144804,122144697,Exon
11,122145482,122145338,Exon
12,122154859,122154715,Exon
13,122155976,122155897,Exon
14,122159248,122159084,Exon
15,122162010,122161946,Exon
16,122165291,122165046,Exon
17,122168545,122168441,Exon
18,122176305,122176197,Exon
19,122182882,122182714,Exon
20,122185006,122184979,Exon
21,122187753,122187648,Exon
22,122205083,122204912,Exon
23,122205901,122205851,Exon
24,122206696,122206528,Exon
25,122208566,122208488,Exon
26,122209425,122209365,Exon
27,122215333,122215262,Exon
28,122216551,122216415,Exon
29,122217701,122217555,Exon
30,122218769,122218676,Exon
31,122220181,122220107,Exon
32,122227536,122227383,Exon
33,122260810,122260742,Exon
34,122273338,122273240,Exon
35,122283496,122283420,Exon
36,122285466,122285374,Exon
37,122286356,122286252,Exon
38,122287901,122287822,Exon
39,122363756,122363276,Exon
40,122407052,122406947,Exon
