,ClusterEnd,ClusterID,ClusterStart,ConversionEventCount,Dataset
0,940,G601.1,923,76,IonXpress_SFPQ_N
1,1005,G601.2,962,150,IonXpress_SFPQ_N
2,1043,G601.3,1020,272,IonXpress_SFPQ_N
3,1378,G602.1,1353,4138,IonXpress_SFPQ_N
4,1409,G602.2,1397,2119,IonXpress_SFPQ_N
5,1974,G603.1,1931,698,IonXpress_SFPQ_N
6,3056,G604.1,3036,10461,IonXpress_SFPQ_N
7,3086,G604.2,3067,1329,IonXpress_SFPQ_N
8,3352,G605.1,3327,248,IonXpress_SFPQ_N
9,3378,G605.2,3355,186,IonXpress_SFPQ_N
10,3644,G606.1,3625,57,IonXpress_SFPQ_N
11,1017,G525.1,997,37,IonXpress_NONO_N
12,1043,G525.2,1023,61,IonXpress_NONO_N
13,1378,G526.1,1356,1197,IonXpress_NONO_N
14,1409,G526.2,1397,490,IonXpress_NONO_N
15,1944,G527.1,1923,83,IonXpress_NONO_N
16,1971,G527.2,1950,101,IonXpress_NONO_N
17,3091,G528.1,3058,132,IonXpress_NONO_N
18,3359,G529.1,3330,240,IonXpress_NONO_N
