,feature_end,feature_start,feature_type
0,33923377,33923376,5'-UTR
1,34048885,33998847,3'-UTR
2,33923476,33923376,Exon
3,33923998,33923792,Exon
4,33924282,33924203,Exon
5,33926662,33926614,Exon
6,33927078,33926986,Exon
7,33927990,33927794,Exon
8,33932626,33932559,Exon
9,33933626,33933487,Exon
10,33935876,33935836,Exon
11,33941860,33941646,Exon
12,33943587,33943417,Exon
13,33944637,33944362,Exon
14,33948585,33948371,Exon
15,33953472,33953282,Exon
16,33956144,33956076,Exon
17,33960876,33960823,Exon
18,33963789,33963723,Exon
19,33971752,33971648,Exon
20,33973235,33973180,Exon
21,33986835,33986757,Exon
22,33989124,33988970,Exon
23,33998862,33998784,Exon
24,34011662,34011624,Exon
25,34017187,34017047,Exon
26,34048885,34048822,Exon
