,feature_classification,feature_end,feature_length,feature_start,feature_subtype_index,feature_type,feature_type_index
0,Exon in a ncRNA,612558,154.0,612404,1.0,Exon,1
0,Splice Junction Exon in a ncRNA to Splice Junction Exon in a ncRNA to Intron in a ncRNA,612558,,612558,,Splice Junction ,1
1,Splice Junction Splice Junction Exon in a ncRNA to Intron in a ncRNA to Intron in a ncRNA,612558,,612558,,Splice Junction ,2
1,Splice Junction Exon in a ncRNA to Intron in a ncRNA,612558,,612558,,Splice Junction ,1
2,Intron in a ncRNA,619103,6545.0,612558,1.0,Intron,1
2,Splice Junction Intron in a ncRNA to Splice Junction Intron in a ncRNA to Exon in a ncRNA,619103,,619103,,Splice Junction ,3
3,Splice Junction Intron in a ncRNA to Exon in a ncRNA,619104,,619103,,Splice Junction ,2
3,Splice Junction Splice Junction Intron in a ncRNA to Exon in a ncRNA to Exon in a ncRNA,619104,,619104,,Splice Junction ,4
4,Exon in a ncRNA,619232,128.0,619104,2.0,Exon,2
4,Splice Junction Exon in a ncRNA to Splice Junction Exon in a ncRNA to Intron in a ncRNA,619232,,619232,,Splice Junction ,5
5,Splice Junction Splice Junction Exon in a ncRNA to Intron in a ncRNA to Intron in a ncRNA,619232,,619232,,Splice Junction ,6
5,Splice Junction Exon in a ncRNA to Intron in a ncRNA,619232,,619232,,Splice Junction ,3
6,Intron in a ncRNA,620182,950.0,619232,2.0,Intron,2
6,Splice Junction Intron in a ncRNA to Splice Junction Intron in a ncRNA to Exon in a ncRNA,620182,,620182,,Splice Junction ,7
7,Splice Junction Intron in a ncRNA to Exon in a ncRNA,620183,,620182,,Splice Junction ,4
7,Splice Junction Splice Junction Intron in a ncRNA to Exon in a ncRNA to Exon in a ncRNA,620183,,620183,,Splice Junction ,8
8,Exon in a ncRNA,620376,193.0,620183,3.0,Exon,3
8,Splice Junction Exon in a ncRNA to Splice Junction Exon in a ncRNA to Intron in a ncRNA,620376,,620376,,Splice Junction ,9
9,Splice Junction Splice Junction Exon in a ncRNA to Intron in a ncRNA to Intron in a ncRNA,620376,,620376,,Splice Junction ,10
9,Splice Junction Exon in a ncRNA to Intron in a ncRNA,620376,,620376,,Splice Junction ,5
10,Intron in a ncRNA,624584,4208.0,620376,3.0,Intron,3
10,Splice Junction Intron in a ncRNA to Splice Junction Intron in a ncRNA to Exon in a ncRNA,624584,,624584,,Splice Junction ,11
11,Splice Junction Intron in a ncRNA to Exon in a ncRNA,624585,,624584,,Splice Junction ,6
11,Splice Junction Splice Junction Intron in a ncRNA to Exon in a ncRNA to Exon in a ncRNA,624585,,624585,,Splice Junction ,12
12,Exon in a ncRNA,624694,109.0,624585,4.0,Exon,4
12,Splice Junction Exon in a ncRNA to Splice Junction Exon in a ncRNA to Intron in a ncRNA,624694,,624694,,Splice Junction ,13
13,Splice Junction Splice Junction Exon in a ncRNA to Intron in a ncRNA to Intron in a ncRNA,624694,,624694,,Splice Junction ,14
13,Splice Junction Exon in a ncRNA to Intron in a ncRNA,624694,,624694,,Splice Junction ,7
14,Intron in a ncRNA,635485,10791.0,624694,4.0,Intron,4
14,Splice Junction Intron in a ncRNA to Splice Junction Intron in a ncRNA to Exon in a ncRNA,635485,,635485,,Splice Junction ,15
15,Splice Junction Intron in a ncRNA to Exon in a ncRNA,635486,,635485,,Splice Junction ,8
15,Splice Junction Splice Junction Intron in a ncRNA to Exon in a ncRNA to Exon in a ncRNA,635486,,635486,,Splice Junction ,16
16,Exon in a ncRNA,635699,213.0,635486,5.0,Exon,5
16,Splice Junction Exon in a ncRNA to Splice Junction Exon in a ncRNA to Intron in a ncRNA,635699,,635699,,Splice Junction ,17
17,Splice Junction Splice Junction Exon in a ncRNA to Intron in a ncRNA to Intron in a ncRNA,635699,,635699,,Splice Junction ,18
17,Splice Junction Exon in a ncRNA to Intron in a ncRNA,635699,,635699,,Splice Junction ,9
18,Intron in a ncRNA,637630,1931.0,635699,5.0,Intron,5
18,Splice Junction Intron in a ncRNA to Splice Junction Intron in a ncRNA to Exon in a ncRNA,637630,,637630,,Splice Junction ,19
19,Splice Junction Intron in a ncRNA to Exon in a ncRNA,637631,,637630,,Splice Junction ,10
19,Splice Junction Splice Junction Intron in a ncRNA to Exon in a ncRNA to Exon in a ncRNA,637631,,637631,,Splice Junction ,20
20,Exon in a ncRNA,637933,302.0,637631,6.0,Exon,6
20,Splice Junction Exon in a ncRNA to Splice Junction Exon in a ncRNA to Intron in a ncRNA,637933,,637933,,Splice Junction ,21
21,Splice Junction Splice Junction Exon in a ncRNA to Intron in a ncRNA to Intron in a ncRNA,637933,,637933,,Splice Junction ,22
21,Splice Junction Exon in a ncRNA to Intron in a ncRNA,637933,,637933,,Splice Junction ,11
22,Intron in a ncRNA,639202,1269.0,637933,6.0,Intron,6
22,Splice Junction Intron in a ncRNA to Splice Junction Intron in a ncRNA to Exon in a ncRNA,639202,,639202,,Splice Junction ,23
23,Splice Junction Intron in a ncRNA to Exon in a ncRNA,639203,,639202,,Splice Junction ,12
23,Splice Junction Splice Junction Intron in a ncRNA to Exon in a ncRNA to Exon in a ncRNA,639203,,639203,,Splice Junction ,24
24,Exon in a ncRNA,639339,136.0,639203,7.0,Exon,7
