,End_Region,Start_Region,feature_classification,feature_end,feature_length,feature_start,feature_subtype_index,feature_type,feature_type_index
0,,,5'-UTR,136665365.0,1947.0,136663418.0,1,5'-UTR,1
1,Coding_Region,5'-UTR,Exon from 5'-UTR to Coding_Region,136665376.0,1958.0,136663418.0,1,Exon,6
0,,,Translation_Start,136665365.0,,136665365.0,1,Translation_Start,1
2,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,136666992.0,1616.0,136665376.0,1,Intron,5
0,,,Splice Junction Exon from 5'-UTR to Coding_Region to Intron from Coding_Region to Coding_Region,136665376.0,,136665376.0,1,Splice Junction ,1
0,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,136666993.0,,136666992.0,1,Splice Junction ,2
3,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,136667217.0,224.0,136666993.0,1,Exon,7
4,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,136677828.0,10611.0,136667217.0,2,Intron,6
0,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,136667217.0,,136667217.0,1,Splice Junction ,3
1,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,136677829.0,,136677828.0,2,Splice Junction ,4
5,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,136677932.0,103.0,136677829.0,2,Exon,8
6,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,136680956.0,3024.0,136677932.0,3,Intron,7
1,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,136677932.0,,136677932.0,2,Splice Junction ,5
2,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,136680957.0,,136680956.0,3,Splice Junction ,6
7,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,136681015.0,58.0,136680957.0,3,Exon,9
8,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,136681117.0,102.0,136681015.0,4,Intron,8
