,End_Region,Start_Region,feature_classification,feature_end,feature_length,feature_start,feature_subtype_index,feature_type,feature_type_index
0,,,5'-UTR,46917519.0,1383.0,46916136.0,1,5'-UTR,1
1,Coding_Region,5'-UTR,Exon from 5'-UTR to Coding_Region,46917632.0,1496.0,46916136.0,1,Exon,4
0,,,Translation_Start,46917519.0,,46917519.0,1,Translation_Start,1
2,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,46918874.0,1242.0,46917632.0,1,Intron,3
0,,,Splice Junction Exon from 5'-UTR to Coding_Region to Intron from Coding_Region to Coding_Region,46917632.0,,46917632.0,1,Splice Junction ,1
0,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,46918875.0,,46918874.0,1,Splice Junction ,2
3,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,46918966.0,91.0,46918875.0,1,Exon,5
0,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,46918966.0,,46918966.0,1,Splice Junction ,3
4,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,46919580.0,614.0,46918966.0,2,Intron,4
1,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,46919581.0,,46919580.0,2,Splice Junction ,4
5,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,46919735.0,154.0,46919581.0,2,Exon,6
6,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,46923419.0,3684.0,46919735.0,3,Intron,5
1,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,46919735.0,,46919735.0,2,Splice Junction ,5
2,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,46923420.0,,46923419.0,3,Splice Junction ,6
7,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,46923482.0,62.0,46923420.0,3,Exon,7
8,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,46924246.0,764.0,46923482.0,4,Intron,6
2,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,46923482.0,,46923482.0,3,Splice Junction ,7
3,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,46924247.0,,46924246.0,4,Splice Junction ,8
