,feature_classification,feature_end,feature_length,feature_start,feature_subtype_index,feature_type,feature_type_index
0,Exon in a ncRNA,73249386,1416.0,73247970,1.0,Exon,1
0,Splice Junction Exon in a ncRNA to Intron in a ncRNA,73249386,,73249386,,Splice Junction ,1
1,Intron in a ncRNA,73251429,2043.0,73249386,1.0,Intron,1
1,Splice Junction Intron in a ncRNA to Exon in a ncRNA,73251430,,73251429,,Splice Junction ,2
2,Exon in a ncRNA,73251675,245.0,73251430,2.0,Exon,2
2,Splice Junction Exon in a ncRNA to Intron in a ncRNA,73251675,,73251675,,Splice Junction ,3
3,Intron in a ncRNA,73494175,242500.0,73251675,2.0,Intron,2
3,Splice Junction Intron in a ncRNA to Exon in a ncRNA,73494176,,73494175,,Splice Junction ,4
4,Exon in a ncRNA,73494245,69.0,73494176,3.0,Exon,3
4,Splice Junction Exon in a ncRNA to Intron in a ncRNA,73494245,,73494245,,Splice Junction ,5
5,Intron in a ncRNA,73500227,5982.0,73494245,3.0,Intron,3
5,Splice Junction Intron in a ncRNA to Exon in a ncRNA,73500228,,73500227,,Splice Junction ,6
6,Exon in a ncRNA,73500329,101.0,73500228,4.0,Exon,4
6,Splice Junction Exon in a ncRNA to Intron in a ncRNA,73500329,,73500329,,Splice Junction ,7
7,Intron in a ncRNA,73500764,435.0,73500329,4.0,Intron,4
7,Splice Junction Intron in a ncRNA to Exon in a ncRNA,73500765,,73500764,,Splice Junction ,8
8,Exon in a ncRNA,73500920,155.0,73500765,5.0,Exon,5
8,Splice Junction Exon in a ncRNA to Intron in a ncRNA,73500920,,73500920,,Splice Junction ,9
9,Intron in a ncRNA,73501535,615.0,73500920,5.0,Intron,5
9,Splice Junction Intron in a ncRNA to Exon in a ncRNA,73501536,,73501535,,Splice Junction ,10
10,Exon in a ncRNA,73501683,147.0,73501536,6.0,Exon,6
10,Splice Junction Exon in a ncRNA to Intron in a ncRNA,73501683,,73501683,,Splice Junction ,11
11,Intron in a ncRNA,73513185,11502.0,73501683,6.0,Intron,6
11,Splice Junction Intron in a ncRNA to Exon in a ncRNA,73513186,,73513185,,Splice Junction ,12
12,Exon in a ncRNA,73513409,223.0,73513186,7.0,Exon,7
