,feature_classification,feature_end,feature_length,feature_start,feature_subtype_index,feature_type,feature_type_index
0,Exon in a ncRNA,21823423,323.0,21823100,1.0,Exon,1
0,Splice Junction Exon in a ncRNA to Intron in a ncRNA,21823423,,21823423,,Splice Junction ,1
1,Intron in a ncRNA,21823572,149.0,21823423,1.0,Intron,1
1,Splice Junction Intron in a ncRNA to Exon in a ncRNA,21823573,,21823572,,Splice Junction ,2
2,Exon in a ncRNA,21823733,160.0,21823573,2.0,Exon,2
2,Splice Junction Exon in a ncRNA to Intron in a ncRNA,21823733,,21823733,,Splice Junction ,3
3,Intron in a ncRNA,21827760,4027.0,21823733,2.0,Intron,2
3,Splice Junction Intron in a ncRNA to Exon in a ncRNA,21827761,,21827760,,Splice Junction ,4
4,Exon in a ncRNA,21827841,80.0,21827761,3.0,Exon,3
4,Splice Junction Exon in a ncRNA to Intron in a ncRNA,21827841,,21827841,,Splice Junction ,5
5,Intron in a ncRNA,21846548,18707.0,21827841,3.0,Intron,3
5,Splice Junction Intron in a ncRNA to Exon in a ncRNA,21846549,,21846548,,Splice Junction ,6
6,Exon in a ncRNA,21846753,204.0,21846549,4.0,Exon,4
6,Splice Junction Exon in a ncRNA to Intron in a ncRNA,21846753,,21846753,,Splice Junction ,7
7,Intron in a ncRNA,21875221,28468.0,21846753,4.0,Intron,4
7,Splice Junction Intron in a ncRNA to Exon in a ncRNA,21875222,,21875221,,Splice Junction ,8
8,Exon in a ncRNA,21875277,55.0,21875222,5.0,Exon,5
8,Splice Junction Exon in a ncRNA to Intron in a ncRNA,21875277,,21875277,,Splice Junction ,9
9,Intron in a ncRNA,21884258,8981.0,21875277,5.0,Intron,5
9,Splice Junction Intron in a ncRNA to Exon in a ncRNA,21884259,,21884258,,Splice Junction ,10
10,Exon in a ncRNA,21884369,110.0,21884259,6.0,Exon,6
10,Splice Junction Exon in a ncRNA to Intron in a ncRNA,21884369,,21884369,,Splice Junction ,11
11,Intron in a ncRNA,21901275,16906.0,21884369,6.0,Intron,6
11,Splice Junction Intron in a ncRNA to Exon in a ncRNA,21901276,,21901275,,Splice Junction ,12
12,Exon in a ncRNA,21901380,104.0,21901276,7.0,Exon,7
12,Splice Junction Exon in a ncRNA to Intron in a ncRNA,21901380,,21901380,,Splice Junction ,13
13,Intron in a ncRNA,21903758,2378.0,21901380,7.0,Intron,7
13,Splice Junction Intron in a ncRNA to Exon in a ncRNA,21903759,,21903758,,Splice Junction ,14
14,Exon in a ncRNA,21903853,94.0,21903759,8.0,Exon,8
14,Splice Junction Exon in a ncRNA to Intron in a ncRNA,21903853,,21903853,,Splice Junction ,15
15,Intron in a ncRNA,21906039,2186.0,21903853,8.0,Intron,8
15,Splice Junction Intron in a ncRNA to Exon in a ncRNA,21906040,,21906039,,Splice Junction ,16
16,Exon in a ncRNA,21906136,96.0,21906040,9.0,Exon,9
16,Splice Junction Exon in a ncRNA to Intron in a ncRNA,21906136,,21906136,,Splice Junction ,17
17,Intron in a ncRNA,21940600,34464.0,21906136,9.0,Intron,9
17,Splice Junction Intron in a ncRNA to Exon in a ncRNA,21940601,,21940600,,Splice Junction ,18
18,Exon in a ncRNA,21940697,96.0,21940601,10.0,Exon,10
18,Splice Junction Exon in a ncRNA to Intron in a ncRNA,21940697,,21940697,,Splice Junction ,19
19,Intron in a ncRNA,21959376,18679.0,21940697,10.0,Intron,10
19,Splice Junction Intron in a ncRNA to Exon in a ncRNA,21959377,,21959376,,Splice Junction ,20
20,Exon in a ncRNA,21959633,256.0,21959377,11.0,Exon,11
20,Splice Junction Exon in a ncRNA to Intron in a ncRNA,21959633,,21959633,,Splice Junction ,21
21,Intron in a ncRNA,21962277,2644.0,21959633,11.0,Intron,11
21,Splice Junction Intron in a ncRNA to Exon in a ncRNA,21962278,,21962277,,Splice Junction ,22
22,Exon in a ncRNA,21962848,570.0,21962278,12.0,Exon,12
22,Splice Junction Exon in a ncRNA to Intron in a ncRNA,21962848,,21962848,,Splice Junction ,23
23,Intron in a ncRNA,21970259,7411.0,21962848,12.0,Intron,12
23,Splice Junction Intron in a ncRNA to Exon in a ncRNA,21970260,,21970259,,Splice Junction ,24
24,Exon in a ncRNA,21970305,45.0,21970260,13.0,Exon,13
24,Splice Junction Exon in a ncRNA to Intron in a ncRNA,21970305,,21970305,,Splice Junction ,25
25,Intron in a ncRNA,21971152,847.0,21970305,13.0,Intron,13
25,Splice Junction Intron in a ncRNA to Exon in a ncRNA,21971153,,21971152,,Splice Junction ,26
26,Exon in a ncRNA,21971186,33.0,21971153,14.0,Exon,14
26,Splice Junction Exon in a ncRNA to Intron in a ncRNA,21971186,,21971186,,Splice Junction ,27
