,End_Region,Start_Region,feature_classification,feature_end,feature_length,feature_start,feature_subtype_index,feature_type,feature_type_index
0,,,5'-UTR,64447662,3100.0,64444562,1,5'-UTR,1
1,Coding_Region,5'-UTR,Exon from 5'-UTR to Coding_Region,64447772,3210.0,64444562,1,Exon,3
0,,,Translation_Start,64447662,,64447662,1,Translation_Start,1
2,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,64466442,18670.0,64447772,1,Intron,2
0,,,Splice Junction Exon from 5'-UTR to Coding_Region to Intron from Coding_Region to Coding_Region,64447772,,64447772,1,Splice Junction ,1
0,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,64466443,,64466442,1,Splice Junction ,2
3,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,64466600,157.0,64466443,1,Exon,4
4,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,64468657,2057.0,64466600,2,Intron,3
0,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,64466600,,64466600,1,Splice Junction ,3
1,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,64468658,,64468657,2,Splice Junction ,4
5,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,64468835,177.0,64468658,2,Exon,5
6,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,64483841,15006.0,64468835,3,Intron,4
1,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,64468835,,64468835,2,Splice Junction ,5
2,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,64483842,,64483841,3,Splice Junction ,6
7,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,64484047,205.0,64483842,3,Exon,6
8,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,64492847,8800.0,64484047,4,Intron,5
2,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,64484047,,64484047,3,Splice Junction ,7
3,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,64492848,,64492847,4,Splice Junction ,8
