,End_Region,Start_Region,feature_classification,feature_end,feature_start,feature_subtype_index,feature_type,feature_type_index,index
0,,,5'-UTR,49521740,49521564,1.0,5'-UTR,1,
1,3'-UTR,5'-UTR,Exon from 5'-UTR to 3'-UTR,49522635,49521564,1.0,Exon,1,
0,,,Splice Junction 5'-UTR to Exon from 5'-UTR to 3'-UTR,49521564,49521740,,Splice Junction ,1,
2,,,3'-UTR,49522635,49522490,1.0,3'-UTR,1,
1,,,Splice Junction Exon from 5'-UTR to 3'-UTR to 3'-UTR,49522490,49522635,,Splice Junction ,2,
