,feature_end,feature_start,feature_type
0,148577649,148558187,5'-UTR
1,148596267,148594640,3'-UTR
2,148558286,148558187,Exon
3,148561115,148560846,Exon
4,148566880,148566849,Exon
5,148568877,148568735,Exon
6,148574987,148574736,Exon
7,148577251,148577071,Exon
8,148577512,148577357,Exon
9,148577824,148577614,Exon
10,148579708,148579605,Exon
11,148580754,148580539,Exon
12,148581868,148581795,Exon
13,148582538,148582332,Exon
14,148583877,148583825,Exon
15,148587951,148587787,Exon
16,148589045,148588993,Exon
17,148589833,148589660,Exon
18,148590604,148590552,Exon
19,148591373,148591200,Exon
20,148592134,148592082,Exon
21,148592963,148592790,Exon
22,148593783,148593677,Exon
23,148596267,148594396,Exon
