,ClusterEnd,ClusterID,ClusterStart,ConversionEventCount,Dataset
0,21939,G3024.1,21921,57,MiSeqSFPQc.csv
1,26612,G3031.1,26594,35,MiSeqSFPQc.csv
2,32111,G3034.1,32061,80,MiSeqSFPQc.csv
3,35093,G3035.1,35084,19,MiSeqSFPQc.csv
4,35123,G3035.2,35104,54,MiSeqSFPQc.csv
5,35958,G3037.1,35934,104,MiSeqSFPQc.csv
6,36086,G3038.1,36068,25,MiSeqSFPQc.csv
7,38581,G3042.1,38564,45,MiSeqSFPQc.csv
8,40476,G3046.1,40459,29,MiSeqSFPQc.csv
9,40824,G3048.1,40802,65,MiSeqSFPQc.csv
10,40844,G3048.2,40827,61,MiSeqSFPQc.csv
11,43410,G3050.1,43390,127,MiSeqSFPQc.csv
12,43745,G3051.1,43726,39,MiSeqSFPQc.csv
13,44083,G3053.1,44063,56,MiSeqSFPQc.csv
14,44661,G3056.1,44638,19,MiSeqSFPQc.csv
15,46981,G3059.1,46945,76,MiSeqSFPQc.csv
16,16603,G2422.1,16591,20,MiSeqNONOc.csv
17,21713,G2430.1,21702,109,MiSeqNONOc.csv
18,23131,G2434.1,23105,139,MiSeqNONOc.csv
19,26285,G2438.1,26248,82,MiSeqNONOc.csv
20,26612,G2439.1,26593,48,MiSeqNONOc.csv
21,32111,G2443.1,32076,83,MiSeqNONOc.csv
22,32983,G2444.1,32959,19,MiSeqNONOc.csv
23,35119,G2446.1,35100,46,MiSeqNONOc.csv
24,35959,G2449.1,35926,150,MiSeqNONOc.csv
25,39093,G2457.1,39076,20,MiSeqNONOc.csv
26,39257,G2458.1,39233,42,MiSeqNONOc.csv
27,39638,G2459.1,39604,87,MiSeqNONOc.csv
28,40814,G2462.1,40801,17,MiSeqNONOc.csv
29,43087,G2466.1,43071,42,MiSeqNONOc.csv
30,43412,G2467.1,43396,30,MiSeqNONOc.csv
31,44058,G2469.1,44035,33,MiSeqNONOc.csv
32,44083,G2469.2,44065,21,MiSeqNONOc.csv
33,45740,G2472.1,45717,72,MiSeqNONOc.csv
34,46958,G2475.1,46935,45,MiSeqNONOc.csv
35,46982,G2475.2,46962,51,MiSeqNONOc.csv
36,47007,G2475.3,46986,55,MiSeqNONOc.csv
