,feature_classification,feature_end,feature_length,feature_start,feature_subtype_index,feature_type,feature_type_index
0,Exon in a ncRNA,38854679,175.0,38854504,1.0,Exon,1
0,Splice Junction Exon in a ncRNA to Intron in a ncRNA,38854679,,38854679,,Splice Junction ,1
1,Intron in a ncRNA,38865403,10724.0,38854679,1.0,Intron,1
1,Splice Junction Intron in a ncRNA to Exon in a ncRNA,38865404,,38865403,,Splice Junction ,2
2,Exon in a ncRNA,38865502,98.0,38865404,2.0,Exon,2
2,Splice Junction Exon in a ncRNA to Intron in a ncRNA,38865502,,38865502,,Splice Junction ,3
3,Intron in a ncRNA,38869175,3673.0,38865502,2.0,Intron,2
3,Splice Junction Intron in a ncRNA to Exon in a ncRNA,38869176,,38869175,,Splice Junction ,4
4,Exon in a ncRNA,38869235,59.0,38869176,3.0,Exon,3
4,Splice Junction Exon in a ncRNA to Intron in a ncRNA,38869235,,38869235,,Splice Junction ,5
5,Intron in a ncRNA,38871482,2247.0,38869235,3.0,Intron,3
5,Splice Junction Intron in a ncRNA to Exon in a ncRNA,38871483,,38871482,,Splice Junction ,6
6,Exon in a ncRNA,38871562,79.0,38871483,4.0,Exon,4
6,Splice Junction Exon in a ncRNA to Intron in a ncRNA,38871562,,38871562,,Splice Junction ,7
7,Intron in a ncRNA,38873635,2073.0,38871562,4.0,Intron,4
7,Splice Junction Intron in a ncRNA to Exon in a ncRNA,38873636,,38873635,,Splice Junction ,8
8,Exon in a ncRNA,38873713,77.0,38873636,5.0,Exon,5
8,Splice Junction Exon in a ncRNA to Intron in a ncRNA,38873713,,38873713,,Splice Junction ,9
9,Intron in a ncRNA,38874736,1023.0,38873713,5.0,Intron,5
9,Splice Junction Intron in a ncRNA to Exon in a ncRNA,38874737,,38874736,,Splice Junction ,10
10,Exon in a ncRNA,38874933,196.0,38874737,6.0,Exon,6
10,Splice Junction Exon in a ncRNA to Intron in a ncRNA,38874933,,38874933,,Splice Junction ,11
11,Intron in a ncRNA,38876370,1437.0,38874933,6.0,Intron,6
11,Splice Junction Intron in a ncRNA to Exon in a ncRNA,38876371,,38876370,,Splice Junction ,12
12,Exon in a ncRNA,38876437,66.0,38876371,7.0,Exon,7
12,Splice Junction Exon in a ncRNA to Intron in a ncRNA,38876437,,38876437,,Splice Junction ,13
13,Intron in a ncRNA,38879160,2723.0,38876437,7.0,Intron,7
13,Splice Junction Intron in a ncRNA to Exon in a ncRNA,38879161,,38879160,,Splice Junction ,14
14,Exon in a ncRNA,38879233,72.0,38879161,8.0,Exon,8
