,feature_classification,feature_end,feature_length,feature_start,feature_subtype_index,feature_type,feature_type_index
0,Exon in a ncRNA,56591281,98.0,56591183,1.0,Exon,1
0,Splice Junction Exon in a ncRNA to Splice Junction Exon in a ncRNA to Intron in a ncRNA,56591281,,56591281,,Splice Junction ,1
1,Splice Junction Splice Junction Exon in a ncRNA to Intron in a ncRNA to Intron in a ncRNA,56591281,,56591281,,Splice Junction ,2
1,Splice Junction Exon in a ncRNA to Intron in a ncRNA,56591281,,56591281,,Splice Junction ,1
2,Intron in a ncRNA,56592872,1591.0,56591281,1.0,Intron,1
2,Splice Junction Intron in a ncRNA to Splice Junction Intron in a ncRNA to Exon in a ncRNA,56592872,,56592872,,Splice Junction ,3
3,Splice Junction Intron in a ncRNA to Exon in a ncRNA,56592873,,56592872,,Splice Junction ,2
3,Splice Junction Splice Junction Intron in a ncRNA to Exon in a ncRNA to Exon in a ncRNA,56592873,,56592873,,Splice Junction ,4
4,Exon in a ncRNA,56592938,65.0,56592873,2.0,Exon,2
4,Splice Junction Exon in a ncRNA to Splice Junction Exon in a ncRNA to Intron in a ncRNA,56592938,,56592938,,Splice Junction ,5
5,Splice Junction Splice Junction Exon in a ncRNA to Intron in a ncRNA to Intron in a ncRNA,56592938,,56592938,,Splice Junction ,6
5,Splice Junction Exon in a ncRNA to Intron in a ncRNA,56592938,,56592938,,Splice Junction ,3
6,Intron in a ncRNA,56593595,657.0,56592938,2.0,Intron,2
6,Splice Junction Intron in a ncRNA to Splice Junction Intron in a ncRNA to Exon in a ncRNA,56593595,,56593595,,Splice Junction ,7
7,Splice Junction Intron in a ncRNA to Exon in a ncRNA,56593596,,56593595,,Splice Junction ,4
7,Splice Junction Splice Junction Intron in a ncRNA to Exon in a ncRNA to Exon in a ncRNA,56593596,,56593596,,Splice Junction ,8
8,Exon in a ncRNA,56593622,26.0,56593596,3.0,Exon,3
8,Splice Junction Exon in a ncRNA to Splice Junction Exon in a ncRNA to Intron in a ncRNA,56593622,,56593622,,Splice Junction ,9
9,Splice Junction Splice Junction Exon in a ncRNA to Intron in a ncRNA to Intron in a ncRNA,56593622,,56593622,,Splice Junction ,10
9,Splice Junction Exon in a ncRNA to Intron in a ncRNA,56593622,,56593622,,Splice Junction ,5
