,End_Region,Start_Region,feature_classification,feature_end,feature_length,feature_start,feature_subtype_index,feature_type,feature_type_index
0,,,5'-UTR,75874660.0,148.0,75874512.0,1,5'-UTR,1
1,Coding_Region,5'-UTR,Exon from 5'-UTR to Coding_Region,75874834.0,322.0,75874512.0,1,Exon,1
0,,,Translation_Start,75874660.0,,75874660.0,1,Translation_Start,1
2,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,75875612.0,778.0,75874834.0,1,Intron,1
0,,,Splice Junction Exon from 5'-UTR to Coding_Region to Intron from Coding_Region to Coding_Region,75874834.0,,75874834.0,1,Splice Junction ,1
0,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,75875613.0,,75875612.0,1,Splice Junction ,2
3,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,75875859.0,246.0,75875613.0,1,Exon,2
4,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,75881517.0,5658.0,75875859.0,2,Intron,2
0,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,75875859.0,,75875859.0,1,Splice Junction ,3
1,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,75881518.0,,75881517.0,2,Splice Junction ,4
5,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,75881589.0,71.0,75881518.0,2,Exon,3
1,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,75881589.0,,75881589.0,2,Splice Junction ,5
6,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,75884184.0,2595.0,75881589.0,3,Intron,3
2,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,75884185.0,,75884184.0,3,Splice Junction ,6
7,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,75884298.0,113.0,75884185.0,3,Exon,4
2,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,75884298.0,,75884298.0,3,Splice Junction ,7
8,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,75889355.0,5057.0,75884298.0,4,Intron,4
3,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,75889356.0,,75889355.0,4,Splice Junction ,8
9,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,75889442.0,86.0,75889356.0,4,Exon,5
10,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,75892472.0,3030.0,75889442.0,5,Intron,5
3,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,75889442.0,,75889442.0,4,Splice Junction ,9
0,,,Translation_End,75892500.0,,75892500.0,1,Translation_End,1
11,,,3'-UTR,75892500.0,0.0,75892500.0,1,3'-UTR,1
