,End_Region,Start_Region,feature_classification,feature_end,feature_length,feature_start,feature_subtype_index,feature_type,feature_type_index
0,,,5'-UTR,44687301,23386.0,44663915,1,5'-UTR,1
1,5'-UTR,5'-UTR,Exon from 5'-UTR to 5'-UTR,44664164,249.0,44663915,1,Exon,1
2,5'-UTR,5'-UTR,Intron from 5'-UTR to 5'-UTR,44684924,20760.0,44664164,1,Intron,1
0,,,Splice Junction Exon from 5'-UTR to 5'-UTR to Intron from 5'-UTR to 5'-UTR,44664164,,44664164,1,Splice Junction ,1
0,,,Splice Junction Intron from 5'-UTR to 5'-UTR to Exon from 5'-UTR to 5'-UTR,44684925,,44684924,1,Splice Junction ,2
3,5'-UTR,5'-UTR,Exon from 5'-UTR to 5'-UTR,44685117,192.0,44684925,2,Exon,2
1,,,Splice Junction Exon from 5'-UTR to 5'-UTR to Intron from 5'-UTR to 5'-UTR,44685117,,44685117,2,Splice Junction ,3
4,5'-UTR,5'-UTR,Intron from 5'-UTR to 5'-UTR,44687254,2137.0,44685117,2,Intron,2
0,,,Splice Junction Intron from 5'-UTR to 5'-UTR to Exon from 5'-UTR to Coding_Region,44687255,,44687254,1,Splice Junction ,4
5,Coding_Region,5'-UTR,Exon from 5'-UTR to Coding_Region,44687358,103.0,44687255,1,Exon,4
0,,,Translation_Start,44687301,,44687301,1,Translation_Start,1
6,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,44706333,18975.0,44687358,1,Intron,3
0,,,Splice Junction Exon from 5'-UTR to Coding_Region to Intron from Coding_Region to Coding_Region,44687358,,44687358,1,Splice Junction ,5
0,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,44706334,,44706333,1,Splice Junction ,6
7,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,44706450,116.0,44706334,1,Exon,5
8,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,44714008,7558.0,44706450,2,Intron,4
0,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,44706450,,44706450,1,Splice Junction ,7
1,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,44714009,,44714008,2,Splice Junction ,8
9,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,44714156,147.0,44714009,2,Exon,6
10,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,44714775,619.0,44714156,3,Intron,5
1,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,44714156,,44714156,2,Splice Junction ,9
2,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,44714776,,44714775,3,Splice Junction ,10
11,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,44714867,91.0,44714776,3,Exon,7
2,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,44714867,,44714867,3,Splice Junction ,11
12,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,44715567,700.0,44714867,4,Intron,6
3,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,44715568,,44715567,4,Splice Junction ,12
13,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,44715748,180.0,44715568,4,Exon,8
3,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,44715748,,44715748,4,Splice Junction ,13
14,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,44721317,5569.0,44715748,5,Intron,7
4,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,44721318,,44721317,5,Splice Junction ,14
15,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,44721447,129.0,44721318,5,Exon,9
4,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,44721447,,44721447,5,Splice Junction ,15
16,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,44733422,11975.0,44721447,6,Intron,8
5,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,44733423,,44733422,6,Splice Junction ,16
17,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,44733603,180.0,44733423,6,Exon,10
5,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,44733603,,44733603,6,Splice Junction ,17
18,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,44734021,418.0,44733603,7,Intron,9
6,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,44734022,,44734021,7,Splice Junction ,18
19,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,44734175,153.0,44734022,7,Exon,11
20,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,44735622,1447.0,44734175,8,Intron,10
6,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,44734175,,44734175,7,Splice Junction ,19
7,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,44735623,,44735622,8,Splice Junction ,20
21,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,44735726,103.0,44735623,8,Exon,12
22,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,44736026,300.0,44735726,9,Intron,11
7,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,44735726,,44735726,8,Splice Junction ,21
8,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,44736027,,44736026,9,Splice Junction ,22
23,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,44736156,129.0,44736027,9,Exon,13
24,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,44736511,355.0,44736156,10,Intron,12
8,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,44736156,,44736156,9,Splice Junction ,23
9,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,44736512,,44736511,10,Splice Junction ,24
25,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,44736663,151.0,44736512,10,Exon,14
9,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,44736663,,44736663,10,Splice Junction ,25
26,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,44736967,304.0,44736663,11,Intron,13
10,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,44736968,,44736967,11,Splice Junction ,26
27,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,44737096,128.0,44736968,11,Exon,15
10,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,44737096,,44737096,11,Splice Junction ,27
28,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,44737201,105.0,44737096,12,Intron,14
11,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,44737202,,44737201,12,Splice Junction ,28
29,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,44737381,179.0,44737202,12,Exon,16
11,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,44737381,,44737381,12,Splice Junction ,29
30,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,44737789,408.0,44737381,13,Intron,15
12,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,44737790,,44737789,13,Splice Junction ,30
31,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,44737862,72.0,44737790,13,Exon,17
12,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,44737862,,44737862,13,Splice Junction ,31
32,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,44739738,1876.0,44737862,14,Intron,16
13,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,44739739,,44739738,14,Splice Junction ,32
33,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,44739868,129.0,44739739,14,Exon,18
34,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,44741140,1272.0,44739868,15,Intron,17
13,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,44739868,,44739868,14,Splice Junction ,33
14,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,44741141,,44741140,15,Splice Junction ,34
35,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,44741214,73.0,44741141,15,Exon,19
14,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,44741214,,44741214,15,Splice Junction ,35
36,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,44746822,5608.0,44741214,16,Intron,18
15,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,44746823,,44746822,16,Splice Junction ,36
37,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,44746987,164.0,44746823,16,Exon,20
38,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,44747179,192.0,44746987,17,Intron,19
15,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,44746987,,44746987,16,Splice Junction ,37
16,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,44747180,,44747179,17,Splice Junction ,38
39,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,44747335,155.0,44747180,17,Exon,21
40,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,44747476,141.0,44747335,18,Intron,20
16,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,44747335,,44747335,17,Splice Junction ,39
0,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to 3'-UTR,44747477,,44747476,1,Splice Junction ,40
41,3'-UTR,Coding_Region,Exon from Coding_Region to 3'-UTR,44748669,1192.0,44747477,1,Exon,3
0,,,Translation_End,44747598,,44747598,1,Translation_End,1
42,,,3'-UTR,44748669,1071.0,44747598,1,3'-UTR,1
