,End_Region,Start_Region,feature_classification,feature_end,feature_length,feature_start,feature_subtype_index,feature_type,feature_type_index
0,,,5'-UTR,10819362.0,770.0,10818592.0,1,5'-UTR,1
1,Coding_Region,5'-UTR,Exon from 5'-UTR to Coding_Region,10819428.0,836.0,10818592.0,1,Exon,9
0,,,Translation_Start,10819362.0,,10819362.0,1,Translation_Start,1
2,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,10820537.0,1109.0,10819428.0,1,Intron,8
0,,,Splice Junction Exon from 5'-UTR to Coding_Region to Intron from Coding_Region to Coding_Region,10819428.0,,10819428.0,1,Splice Junction ,1
0,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,10820538.0,,10820537.0,1,Splice Junction ,2
3,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,10820660.0,122.0,10820538.0,1,Exon,10
4,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,10820758.0,98.0,10820660.0,2,Intron,9
0,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,10820660.0,,10820660.0,1,Splice Junction ,3
1,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,10820759.0,,10820758.0,2,Splice Junction ,4
5,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,10820971.0,212.0,10820759.0,2,Exon,11
6,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,10821097.0,126.0,10820971.0,3,Intron,10
1,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,10820971.0,,10820971.0,2,Splice Junction ,5
2,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,10821098.0,,10821097.0,3,Splice Junction ,6
7,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,10821303.0,205.0,10821098.0,3,Exon,12
8,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,10821635.0,332.0,10821303.0,4,Intron,11
2,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,10821303.0,,10821303.0,3,Splice Junction ,7
3,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,10821636.0,,10821635.0,4,Splice Junction ,8
9,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,10821895.0,259.0,10821636.0,4,Exon,13
10,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,10821977.0,82.0,10821895.0,5,Intron,12
3,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,10821895.0,,10821895.0,4,Splice Junction ,9
