,End_Region,Start_Region,feature_classification,feature_end,feature_length,feature_start,feature_subtype_index,feature_type,feature_type_index
0,,,5'-UTR,39699947,284.0,39699663,1.0,5'-UTR,1
1,Coding_Region,5'-UTR,Exon from 5'-UTR to Coding_Region,39700010,347.0,39699663,1.0,Exon,2
0,,,Splice Junction 5'-UTR to Exon from 5'-UTR to Coding_Region,39699663,,39699947,,Splice Junction ,1
2,,,Translation_Start,39699947,,39699947,1.0,Translation_Start,1
2,,,Splice Junction Translation_Start to Intron from Coding_Region to Coding_Region,39700010,,39699947,,Splice Junction ,3
1,,,Splice Junction Exon from 5'-UTR to Coding_Region to Translation_Start,39699947,,39700010,,Splice Junction ,2
4,,,Splice Junction Exon from 5'-UTR to Coding_Region to Intron from Coding_Region to Coding_Region,39700010,,39700010,1.0,Splice Junction ,1
4,,,Splice Junction Splice Junction Exon from 5'-UTR to Coding_Region to Intron from Coding_Region to Coding_Region to Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,39757275,,39700010,,Splice Junction ,5
3,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,39757275,57265.0,39700010,1.0,Intron,1
3,,,Splice Junction Intron from Coding_Region to Coding_Region to Splice Junction Exon from 5'-UTR to Coding_Region to Intron from Coding_Region to Coding_Region,39700010,,39757275,,Splice Junction ,4
5,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,39757276,,39757275,1.0,Splice Junction ,2
5,,,Splice Junction Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,39757276,,39757276,,Splice Junction ,6
6,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,39757359,83.0,39757276,1.0,Exon,3
6,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,39757359,,39757359,,Splice Junction ,7
8,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,39757359,,39757359,1.0,Splice Junction ,3
8,,,Splice Junction Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region to Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,39776452,,39757359,,Splice Junction ,9
7,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,39776452,19093.0,39757359,2.0,Intron,2
7,,,Splice Junction Intron from Coding_Region to Coding_Region to Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,39757359,,39776452,,Splice Junction ,8
9,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,39776453,,39776452,2.0,Splice Junction ,4
9,,,Splice Junction Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,39776453,,39776453,,Splice Junction ,10
10,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,39776553,100.0,39776453,2.0,Exon,4
10,,,Splice Junction Exon from Coding_Region to Coding_Region to Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,39776553,,39776553,,Splice Junction ,11
11,,,Splice Junction Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,39776553,,39776553,,Splice Junction ,12
11,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,39776553,,39776553,2.0,Splice Junction ,5
12,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,39779300,2747.0,39776553,3.0,Intron,3
12,,,Splice Junction Intron from Coding_Region to Coding_Region to Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,39779300,,39779300,,Splice Junction ,13
13,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,39779301,,39779300,3.0,Splice Junction ,6
13,,,Splice Junction Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,39779301,,39779301,,Splice Junction ,14
14,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,39779430,129.0,39779301,3.0,Exon,5
14,,,Splice Junction Exon from Coding_Region to Coding_Region to Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,39779430,,39779430,,Splice Junction ,15
15,,,Splice Junction Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,39779430,,39779430,,Splice Junction ,16
15,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,39779430,,39779430,3.0,Splice Junction ,7
16,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,39779978,548.0,39779430,4.0,Intron,4
16,,,Splice Junction Intron from Coding_Region to Coding_Region to Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to 3'-UTR,39779978,,39779978,,Splice Junction ,17
17,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to 3'-UTR,39779979,,39779978,1.0,Splice Junction ,8
