,feature_classification,feature_end,feature_length,feature_start,feature_subtype_index,feature_type,feature_type_index
0,Exon in a ncRNA,30951047,128.0,30950919,1.0,Exon,1
0,Splice Junction Exon in a ncRNA to Intron in a ncRNA,30951047,,30951047,,Splice Junction ,1
1,Intron in a ncRNA,31008421,57374.0,30951047,1.0,Intron,1
1,Splice Junction Intron in a ncRNA to Exon in a ncRNA,31008422,,31008421,,Splice Junction ,2
2,Exon in a ncRNA,31008545,123.0,31008422,2.0,Exon,2
2,Splice Junction Exon in a ncRNA to Intron in a ncRNA,31008545,,31008545,,Splice Junction ,3
3,Intron in a ncRNA,31040777,32232.0,31008545,2.0,Intron,2
3,Splice Junction Intron in a ncRNA to Exon in a ncRNA,31040778,,31040777,,Splice Junction ,4
4,Exon in a ncRNA,31040873,95.0,31040778,3.0,Exon,3
4,Splice Junction Exon in a ncRNA to Intron in a ncRNA,31040873,,31040873,,Splice Junction ,5
5,Intron in a ncRNA,31042603,1730.0,31040873,3.0,Intron,3
5,Splice Junction Intron in a ncRNA to Exon in a ncRNA,31042604,,31042603,,Splice Junction ,6
6,Exon in a ncRNA,31042759,155.0,31042604,4.0,Exon,4
6,Splice Junction Exon in a ncRNA to Intron in a ncRNA,31042759,,31042759,,Splice Junction ,7
7,Intron in a ncRNA,31060059,17300.0,31042759,4.0,Intron,4
7,Splice Junction Intron in a ncRNA to Exon in a ncRNA,31060060,,31060059,,Splice Junction ,8
8,Exon in a ncRNA,31065209,5149.0,31060060,5.0,Exon,5
