,End_Region,Start_Region,feature_classification,feature_end,feature_length,feature_start,feature_subtype_index,feature_type,feature_type_index
0,,,5'-UTR,66791744.0,92.0,66791652.0,1,5'-UTR,1
1,Coding_Region,5'-UTR,Exon from 5'-UTR to Coding_Region,66791990.0,338.0,66791652.0,1,Exon,5
0,,,Translation_Start,66791744.0,,66791744.0,1,Translation_Start,1
2,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,66792392.0,402.0,66791990.0,1,Intron,4
0,,,Splice Junction Exon from 5'-UTR to Coding_Region to Intron from Coding_Region to Coding_Region,66791990.0,,66791990.0,1,Splice Junction ,1
0,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,66792393.0,,66792392.0,1,Splice Junction ,2
3,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,66792514.0,121.0,66792393.0,1,Exon,6
0,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,66792514.0,,66792514.0,1,Splice Junction ,3
4,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,66792629.0,115.0,66792514.0,2,Intron,5
1,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,66792630.0,,66792629.0,2,Splice Junction ,4
5,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,66792714.0,84.0,66792630.0,2,Exon,7
1,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,66792714.0,,66792714.0,2,Splice Junction ,5
6,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,66793285.0,571.0,66792714.0,3,Intron,6
2,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,66793286.0,,66793285.0,3,Splice Junction ,6
7,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,66793443.0,157.0,66793286.0,3,Exon,8
2,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,66793443.0,,66793443.0,3,Splice Junction ,7
8,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,66793711.0,268.0,66793443.0,4,Intron,7
3,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,66793712.0,,66793711.0,4,Splice Junction ,8
9,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,66793842.0,130.0,66793712.0,4,Exon,9
3,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,66793842.0,,66793842.0,4,Splice Junction ,9
10,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,66794124.0,282.0,66793842.0,5,Intron,8
4,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,66794125.0,,66794124.0,5,Splice Junction ,10
11,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,66794250.0,125.0,66794125.0,5,Exon,10
12,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,66794948.0,698.0,66794250.0,6,Intron,9
4,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,66794250.0,,66794250.0,5,Splice Junction ,11
0,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from 3'-UTR to 3'-UTR,66795395.0,,66794948.0,1,Splice Junction ,12
13,,,3'-UTR,66816870.0,21782.0,66795088.0,1,3'-UTR,1
0,,,Translation_End,66795088.0,,66795088.0,1,Translation_End,1
14,3'-UTR,3'-UTR,Exon from 3'-UTR to 3'-UTR,66795502.0,107.0,66795395.0,1,Exon,1
0,,,Splice Junction Exon from 3'-UTR to 3'-UTR to Intron from 3'-UTR to 3'-UTR,66795502.0,,66795502.0,1,Splice Junction ,13
15,3'-UTR,3'-UTR,Intron from 3'-UTR to 3'-UTR,66795694.0,192.0,66795502.0,1,Intron,1
0,,,Splice Junction Intron from 3'-UTR to 3'-UTR to Exon from 3'-UTR to 3'-UTR,66795695.0,,66795694.0,1,Splice Junction ,14
16,3'-UTR,3'-UTR,Exon from 3'-UTR to 3'-UTR,66795867.0,172.0,66795695.0,2,Exon,2
17,3'-UTR,3'-UTR,Intron from 3'-UTR to 3'-UTR,66797664.0,1797.0,66795867.0,2,Intron,2
1,,,Splice Junction Exon from 3'-UTR to 3'-UTR to Intron from 3'-UTR to 3'-UTR,66795867.0,,66795867.0,2,Splice Junction ,15
1,,,Splice Junction Intron from 3'-UTR to 3'-UTR to Exon from 3'-UTR to 3'-UTR,66797665.0,,66797664.0,2,Splice Junction ,16
18,3'-UTR,3'-UTR,Exon from 3'-UTR to 3'-UTR,66798086.0,421.0,66797665.0,3,Exon,3
2,,,Splice Junction Exon from 3'-UTR to 3'-UTR to Intron from 3'-UTR to 3'-UTR,66798086.0,,66798086.0,3,Splice Junction ,17
19,3'-UTR,3'-UTR,Intron from 3'-UTR to 3'-UTR,66816791.0,18705.0,66798086.0,3,Intron,3
2,,,Splice Junction Intron from 3'-UTR to 3'-UTR to Exon from 3'-UTR to 3'-UTR,66816792.0,,66816791.0,3,Splice Junction ,18
20,3'-UTR,3'-UTR,Exon from 3'-UTR to 3'-UTR,66816870.0,78.0,66816792.0,4,Exon,4
