,feature_classification,feature_end,feature_length,feature_start,feature_subtype_index,feature_type,feature_type_index
0,Exon in a ncRNA,48699451,1791.0,48697660,1.0,Exon,1
0,Splice Junction Exon in a ncRNA to Intron in a ncRNA,48699451,,48699451,,Splice Junction ,1
1,Intron in a ncRNA,48700664,1213.0,48699451,1.0,Intron,1
1,Splice Junction Intron in a ncRNA to Exon in a ncRNA,48700665,,48700664,,Splice Junction ,2
2,Exon in a ncRNA,48700791,126.0,48700665,2.0,Exon,2
2,Splice Junction Exon in a ncRNA to Intron in a ncRNA,48700791,,48700791,,Splice Junction ,3
3,Intron in a ncRNA,48713018,12227.0,48700791,2.0,Intron,2
3,Splice Junction Intron in a ncRNA to Exon in a ncRNA,48713019,,48713018,,Splice Junction ,4
4,Exon in a ncRNA,48713071,52.0,48713019,3.0,Exon,3
4,Splice Junction Exon in a ncRNA to Intron in a ncRNA,48713071,,48713071,,Splice Junction ,5
5,Intron in a ncRNA,48713207,136.0,48713071,3.0,Intron,3
5,Splice Junction Intron in a ncRNA to Exon in a ncRNA,48713208,,48713207,,Splice Junction ,6
6,Exon in a ncRNA,48713357,149.0,48713208,4.0,Exon,4
6,Splice Junction Exon in a ncRNA to Intron in a ncRNA,48713357,,48713357,,Splice Junction ,7
7,Intron in a ncRNA,48729642,16285.0,48713357,4.0,Intron,4
7,Splice Junction Intron in a ncRNA to Exon in a ncRNA,48729643,,48729642,,Splice Junction ,8
8,Exon in a ncRNA,48729735,92.0,48729643,5.0,Exon,5
