,feature_end,feature_start,feature_type
0,159389696,159313475,5'-UTR
1,159523172,159523089,3'-UTR
2,159313730,159313475,Exon
3,159389828,159389691,Exon
4,159433895,159433782,Exon
5,159459616,159459581,Exon
6,159477633,159477501,Exon
7,159477933,159477742,Exon
8,159481939,159481389,Exon
9,159488453,159488264,Exon
10,159490801,159490581,Exon
11,159497271,159497138,Exon
12,159499211,159498997,Exon
13,159514826,159514642,Exon
14,159517962,159517844,Exon
15,159519600,159519408,Exon
16,159519957,159519783,Exon
17,159523172,159522924,Exon
