,End_Region,Start_Region,feature_classification,feature_end,feature_length,feature_start,feature_subtype_index,feature_type,feature_type_index
0,,,5'-UTR,64447662,3100.0,64444562,1,5'-UTR,1
1,Coding_Region,5'-UTR,Exon from 5'-UTR to Coding_Region,64447772,3210.0,64444562,1,Exon,11
0,,,Translation_Start,64447662,,64447662,1,Translation_Start,1
2,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,64466442,18670.0,64447772,1,Intron,10
0,,,Splice Junction Exon from 5'-UTR to Coding_Region to Intron from Coding_Region to Coding_Region,64447772,,64447772,1,Splice Junction ,1
0,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,64466443,,64466442,1,Splice Junction ,2
3,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,64466600,157.0,64466443,1,Exon,12
4,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,64468657,2057.0,64466600,2,Intron,11
0,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,64466600,,64466600,1,Splice Junction ,3
1,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,64468658,,64468657,2,Splice Junction ,4
5,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,64468835,177.0,64468658,2,Exon,13
6,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,64483841,15006.0,64468835,3,Intron,12
1,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,64468835,,64468835,2,Splice Junction ,5
2,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,64483842,,64483841,3,Splice Junction ,6
7,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,64484047,205.0,64483842,3,Exon,14
8,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,64492847,8800.0,64484047,4,Intron,13
2,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,64484047,,64484047,3,Splice Junction ,7
3,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,64492848,,64492847,4,Splice Junction ,8
9,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,64492978,130.0,64492848,4,Exon,15
10,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,64510619,17641.0,64492978,5,Intron,14
3,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,64492978,,64492978,4,Splice Junction ,9
4,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,64510620,,64510619,5,Splice Junction ,10
11,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,64510759,139.0,64510620,5,Exon,16
12,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,64511149,390.0,64510759,6,Intron,15
4,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,64510759,,64510759,5,Splice Junction ,11
5,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,64511150,,64511149,6,Splice Junction ,12
13,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,64511314,164.0,64511150,6,Exon,17
14,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,64520145,8831.0,64511314,7,Intron,16
5,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,64511314,,64511314,6,Splice Junction ,13
6,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,64520146,,64520145,7,Splice Junction ,14
15,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,64520227,81.0,64520146,7,Exon,18
16,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,64520749,522.0,64520227,8,Intron,17
6,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,64520227,,64520227,7,Splice Junction ,15
7,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,64520750,,64520749,8,Splice Junction ,16
