,feature_classification,feature_end,feature_length,feature_start,feature_subtype_index,feature_type,feature_type_index
0,Exon in a ncRNA,65443251,468.0,65442783,1.0,Exon,1
0,Splice Junction Exon in a ncRNA to Intron in a ncRNA,65443251,,65443251,,Splice Junction ,1
1,Intron in a ncRNA,65444766,1515.0,65443251,1.0,Intron,1
1,Splice Junction Intron in a ncRNA to Exon in a ncRNA,65444767,,65444766,,Splice Junction ,2
2,Exon in a ncRNA,65444874,107.0,65444767,2.0,Exon,2
2,Splice Junction Exon in a ncRNA to Intron in a ncRNA,65444874,,65444874,,Splice Junction ,3
3,Intron in a ncRNA,65445883,1009.0,65444874,2.0,Intron,2
3,Splice Junction Intron in a ncRNA to Exon in a ncRNA,65445884,,65445883,,Splice Junction ,4
4,Exon in a ncRNA,65445977,93.0,65445884,3.0,Exon,3
4,Splice Junction Exon in a ncRNA to Intron in a ncRNA,65445977,,65445977,,Splice Junction ,5
5,Intron in a ncRNA,65447118,1141.0,65445977,3.0,Intron,3
5,Splice Junction Intron in a ncRNA to Exon in a ncRNA,65447119,,65447118,,Splice Junction ,6
6,Exon in a ncRNA,65447419,300.0,65447119,4.0,Exon,4
6,Splice Junction Exon in a ncRNA to Intron in a ncRNA,65447419,,65447419,,Splice Junction ,7
7,Intron in a ncRNA,65448028,609.0,65447419,4.0,Intron,4
7,Splice Junction Intron in a ncRNA to Exon in a ncRNA,65448029,,65448028,,Splice Junction ,8
8,Exon in a ncRNA,65448194,165.0,65448029,5.0,Exon,5
8,Splice Junction Exon in a ncRNA to Intron in a ncRNA,65448194,,65448194,,Splice Junction ,9
9,Intron in a ncRNA,65449114,920.0,65448194,5.0,Intron,5
9,Splice Junction Intron in a ncRNA to Exon in a ncRNA,65449115,,65449114,,Splice Junction ,10
10,Exon in a ncRNA,65449270,155.0,65449115,6.0,Exon,6
10,Splice Junction Exon in a ncRNA to Intron in a ncRNA,65449270,,65449270,,Splice Junction ,11
11,Intron in a ncRNA,65450082,812.0,65449270,6.0,Intron,6
11,Splice Junction Intron in a ncRNA to Exon in a ncRNA,65450083,,65450082,,Splice Junction ,12
12,Exon in a ncRNA,65450248,165.0,65450083,7.0,Exon,7
12,Splice Junction Exon in a ncRNA to Intron in a ncRNA,65450248,,65450248,,Splice Junction ,13
13,Intron in a ncRNA,65451023,775.0,65450248,7.0,Intron,7
13,Splice Junction Intron in a ncRNA to Exon in a ncRNA,65451024,,65451023,,Splice Junction ,14
14,Exon in a ncRNA,65451089,65.0,65451024,8.0,Exon,8
14,Splice Junction Exon in a ncRNA to Intron in a ncRNA,65451089,,65451089,,Splice Junction ,15
15,Intron in a ncRNA,65454940,3851.0,65451089,8.0,Intron,8
15,Splice Junction Intron in a ncRNA to Exon in a ncRNA,65454941,,65454940,,Splice Junction ,16
16,Exon in a ncRNA,65454983,42.0,65454941,9.0,Exon,9
16,Splice Junction Exon in a ncRNA to Intron in a ncRNA,65454983,,65454983,,Splice Junction ,17
17,Intron in a ncRNA,65456365,1382.0,65454983,9.0,Intron,9
17,Splice Junction Intron in a ncRNA to Exon in a ncRNA,65456366,,65456365,,Splice Junction ,18
18,Exon in a ncRNA,65456526,160.0,65456366,10.0,Exon,10
18,Splice Junction Exon in a ncRNA to Intron in a ncRNA,65456526,,65456526,,Splice Junction ,19
19,Intron in a ncRNA,65458967,2441.0,65456526,10.0,Intron,10
19,Splice Junction Intron in a ncRNA to Exon in a ncRNA,65458968,,65458967,,Splice Junction ,20
20,Exon in a ncRNA,65459123,155.0,65458968,11.0,Exon,11
20,Splice Junction Exon in a ncRNA to Intron in a ncRNA,65459123,,65459123,,Splice Junction ,21
21,Intron in a ncRNA,65471270,12147.0,65459123,11.0,Intron,11
21,Splice Junction Intron in a ncRNA to Exon in a ncRNA,65471271,,65471270,,Splice Junction ,22
22,Exon in a ncRNA,65471389,118.0,65471271,12.0,Exon,12
22,Splice Junction Exon in a ncRNA to Intron in a ncRNA,65471389,,65471389,,Splice Junction ,23
23,Intron in a ncRNA,65472380,991.0,65471389,12.0,Intron,12
23,Splice Junction Intron in a ncRNA to Exon in a ncRNA,65472381,,65472380,,Splice Junction ,24
24,Exon in a ncRNA,65472542,161.0,65472381,13.0,Exon,13
24,Splice Junction Exon in a ncRNA to Intron in a ncRNA,65472542,,65472542,,Splice Junction ,25
25,Intron in a ncRNA,65477411,4869.0,65472542,13.0,Intron,13
25,Splice Junction Intron in a ncRNA to Exon in a ncRNA,65477412,,65477411,,Splice Junction ,26
26,Exon in a ncRNA,65477563,151.0,65477412,14.0,Exon,14
