,feature_classification,feature_end,feature_length,feature_start,feature_subtype_index,feature_type,feature_type_index
0,Exon in a ncRNA,93463613,167.0,93463446,1.0,Exon,1
0,Splice Junction Exon in a ncRNA to Intron in a ncRNA,93463613,,93463613,,Splice Junction ,1
1,Intron in a ncRNA,93463841,228.0,93463613,1.0,Intron,1
1,Splice Junction Intron in a ncRNA to Exon in a ncRNA,93463842,,93463841,,Splice Junction ,2
2,Exon in a ncRNA,93464382,540.0,93463842,2.0,Exon,2
2,Splice Junction Exon in a ncRNA to Intron in a ncRNA,93464382,,93464382,,Splice Junction ,3
3,Intron in a ncRNA,93464917,535.0,93464382,2.0,Intron,2
3,Splice Junction Intron in a ncRNA to Exon in a ncRNA,93464918,,93464917,,Splice Junction ,4
4,Exon in a ncRNA,93464965,47.0,93464918,3.0,Exon,3
4,Splice Junction Exon in a ncRNA to Intron in a ncRNA,93464965,,93464965,,Splice Junction ,5
5,Intron in a ncRNA,93465408,443.0,93464965,3.0,Intron,3
5,Splice Junction Intron in a ncRNA to Exon in a ncRNA,93465409,,93465408,,Splice Junction ,6
6,Exon in a ncRNA,93469014,3605.0,93465409,4.0,Exon,4
