,End_Region,Start_Region,feature_classification,feature_end,feature_length,feature_start,feature_subtype_index,feature_type,feature_type_index
0,,,5'-UTR,96058381,60641.0,95997740,1,5'-UTR,1
1,5'-UTR,5'-UTR,Exon from 5'-UTR to 5'-UTR,95997869,129.0,95997740,1,Exon,1
2,5'-UTR,5'-UTR,Intron from 5'-UTR to 5'-UTR,96011241,13372.0,95997869,1,Intron,1
0,,,Splice Junction Exon from 5'-UTR to 5'-UTR to Intron from 5'-UTR to 5'-UTR,95997869,,95997869,1,Splice Junction ,1
0,,,Splice Junction Intron from 5'-UTR to 5'-UTR to Exon from 5'-UTR to 5'-UTR,96011242,,96011241,1,Splice Junction ,2
3,5'-UTR,5'-UTR,Exon from 5'-UTR to 5'-UTR,96011305,63.0,96011242,2,Exon,2
1,,,Splice Junction Exon from 5'-UTR to 5'-UTR to Intron from 5'-UTR to 5'-UTR,96011305,,96011305,2,Splice Junction ,3
4,5'-UTR,5'-UTR,Intron from 5'-UTR to 5'-UTR,96031538,20233.0,96011305,2,Intron,2
1,,,Splice Junction Intron from 5'-UTR to 5'-UTR to Exon from 5'-UTR to 5'-UTR,96031539,,96031538,2,Splice Junction ,4
5,5'-UTR,5'-UTR,Exon from 5'-UTR to 5'-UTR,96031611,72.0,96031539,3,Exon,3
6,5'-UTR,5'-UTR,Intron from 5'-UTR to 5'-UTR,96058341,26730.0,96031611,3,Intron,3
2,,,Splice Junction Exon from 5'-UTR to 5'-UTR to Intron from 5'-UTR to 5'-UTR,96031611,,96031611,3,Splice Junction ,5
0,,,Splice Junction Intron from 5'-UTR to 5'-UTR to Exon from 5'-UTR to Coding_Region,96058342,,96058341,1,Splice Junction ,6
7,Coding_Region,5'-UTR,Exon from 5'-UTR to Coding_Region,96058402,60.0,96058342,1,Exon,6
0,,,Translation_Start,96058381,,96058381,1,Translation_Start,1
8,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,96062496,4094.0,96058402,1,Intron,5
0,,,Splice Junction Exon from 5'-UTR to Coding_Region to Intron from Coding_Region to Coding_Region,96058402,,96058402,1,Splice Junction ,7
0,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,96062497,,96062496,1,Splice Junction ,8
9,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,96062563,66.0,96062497,1,Exon,7
10,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,96063191,628.0,96062563,2,Intron,6
0,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,96062563,,96062563,1,Splice Junction ,9
1,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,96063192,,96063191,2,Splice Junction ,10
11,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,96063234,42.0,96063192,2,Exon,8
12,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,96064855,1621.0,96063234,3,Intron,7
1,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,96063234,,96063234,2,Splice Junction ,11
2,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,96064856,,96064855,3,Splice Junction ,12
