,feature_end,feature_start,feature_type
0,47497849,47495209,5'-UTR
1,47735434,47733277,3'-UTR
2,47495337,47495209,Exon
3,47497904,47497792,Exon
4,47531399,47531309,Exon
5,47533805,47533666,Exon
6,47537001,47536901,Exon
7,47545683,47545575,Exon
8,47549512,47549431,Exon
9,47581459,47581343,Exon
10,47614269,47614205,Exon
11,47621674,47621578,Exon
12,47623013,47622815,Exon
13,47627468,47627410,Exon
14,47628125,47628047,Exon
15,47630442,47630283,Exon
16,47644831,47644736,Exon
17,47675001,47674945,Exon
18,47675603,47675509,Exon
19,47682527,47682443,Exon
20,47683115,47683010,Exon
21,47684537,47684454,Exon
22,47684832,47684741,Exon
23,47694478,47694416,Exon
24,47694730,47694567,Exon
25,47695711,47695629,Exon
26,47697645,47697587,Exon
27,47699943,47699852,Exon
28,47703328,47703125,Exon
29,47723086,47722951,Exon
30,47727418,47727288,Exon
31,47730399,47730291,Exon
32,47732499,47732358,Exon
33,47735434,47733139,Exon
