,End_Region,Start_Region,feature_classification,feature_end,feature_length,feature_start,feature_subtype_index,feature_type,feature_type_index
0,,,5'-UTR,58118178,980.0,58117198,1,5'-UTR,1
1,5'-UTR,5'-UTR,Exon from 5'-UTR to 5'-UTR,58117946,748.0,58117198,1,Exon,1
2,5'-UTR,5'-UTR,Intron from 5'-UTR to 5'-UTR,58118136,190.0,58117946,1,Intron,1
0,,,Splice Junction Exon from 5'-UTR to 5'-UTR to Intron from 5'-UTR to 5'-UTR,58117946,,58117946,1,Splice Junction ,1
0,,,Splice Junction Intron from 5'-UTR to 5'-UTR to Exon from 5'-UTR to Coding_Region,58118137,,58118136,1,Splice Junction ,2
3,Coding_Region,5'-UTR,Exon from 5'-UTR to Coding_Region,58118220,83.0,58118137,1,Exon,4
0,,,Translation_Start,58118178,,58118178,1,Translation_Start,1
4,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,58118315,95.0,58118220,1,Intron,3
0,,,Splice Junction Exon from 5'-UTR to Coding_Region to Intron from Coding_Region to Coding_Region,58118220,,58118220,1,Splice Junction ,3
0,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,58118316,,58118315,1,Splice Junction ,4
5,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,58118485,169.0,58118316,1,Exon,5
6,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,58118564,79.0,58118485,2,Intron,4
0,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,58118485,,58118485,1,Splice Junction ,5
1,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,58118565,,58118564,2,Splice Junction ,6
7,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,58118708,143.0,58118565,2,Exon,6
1,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,58118708,,58118708,2,Splice Junction ,7
8,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,58119235,527.0,58118708,3,Intron,5
2,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,58119236,,58119235,3,Splice Junction ,8
9,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,58119293,57.0,58119236,3,Exon,7
2,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,58119293,,58119293,3,Splice Junction ,9
10,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,58119446,153.0,58119293,4,Intron,6
0,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to 3'-UTR,58119447,,58119446,1,Splice Junction ,10
11,3'-UTR,Coding_Region,Exon from Coding_Region to 3'-UTR,58120144,697.0,58119447,1,Exon,3
12,,,3'-UTR,58121034,1524.0,58119510,1,3'-UTR,1
0,,,Translation_End,58119510,,58119510,1,Translation_End,1
13,3'-UTR,3'-UTR,Intron from 3'-UTR to 3'-UTR,58120955,811.0,58120144,1,Intron,2
0,,,Splice Junction Exon from Coding_Region to 3'-UTR to Intron from 3'-UTR to 3'-UTR,58120144,,58120144,1,Splice Junction ,11
0,,,Splice Junction Intron from 3'-UTR to 3'-UTR to Exon from 3'-UTR to 3'-UTR,58120956,,58120955,1,Splice Junction ,12
14,3'-UTR,3'-UTR,Exon from 3'-UTR to 3'-UTR,58121034,78.0,58120956,1,Exon,2
