,End_Region,Start_Region,feature_classification,feature_end,feature_length,feature_start,feature_subtype_index,feature_type,feature_type_index
0,,,5'-UTR,53488137,8445.0,53479692,1,5'-UTR,1
1,5'-UTR,5'-UTR,Exon from 5'-UTR to 5'-UTR,53479841,149.0,53479692,1,Exon,1
2,5'-UTR,5'-UTR,Intron from 5'-UTR to 5'-UTR,53480952,1111.0,53479841,1,Intron,1
0,,,Splice Junction Exon from 5'-UTR to 5'-UTR to Intron from 5'-UTR to 5'-UTR,53479841,,53479841,1,Splice Junction ,1
0,,,Splice Junction Intron from 5'-UTR to 5'-UTR to Exon from 5'-UTR to 5'-UTR,53480953,,53480952,1,Splice Junction ,2
3,5'-UTR,5'-UTR,Exon from 5'-UTR to 5'-UTR,53481018,65.0,53480953,2,Exon,2
1,,,Splice Junction Exon from 5'-UTR to 5'-UTR to Intron from 5'-UTR to 5'-UTR,53481018,,53481018,2,Splice Junction ,3
4,5'-UTR,5'-UTR,Intron from 5'-UTR to 5'-UTR,53485613,4595.0,53481018,2,Intron,2
1,,,Splice Junction Intron from 5'-UTR to 5'-UTR to Exon from 5'-UTR to 5'-UTR,53485614,,53485613,2,Splice Junction ,4
5,5'-UTR,5'-UTR,Exon from 5'-UTR to 5'-UTR,53485743,129.0,53485614,3,Exon,3
6,5'-UTR,5'-UTR,Intron from 5'-UTR to 5'-UTR,53487362,1619.0,53485743,3,Intron,3
2,,,Splice Junction Exon from 5'-UTR to 5'-UTR to Intron from 5'-UTR to 5'-UTR,53485743,,53485743,3,Splice Junction ,5
2,,,Splice Junction Intron from 5'-UTR to 5'-UTR to Exon from 5'-UTR to 5'-UTR,53487363,,53487362,3,Splice Junction ,6
7,5'-UTR,5'-UTR,Exon from 5'-UTR to 5'-UTR,53487524,161.0,53487363,4,Exon,4
8,5'-UTR,5'-UTR,Intron from 5'-UTR to 5'-UTR,53487615,91.0,53487524,4,Intron,4
3,,,Splice Junction Exon from 5'-UTR to 5'-UTR to Intron from 5'-UTR to 5'-UTR,53487524,,53487524,4,Splice Junction ,7
3,,,Splice Junction Intron from 5'-UTR to 5'-UTR to Exon from 5'-UTR to 5'-UTR,53487616,,53487615,4,Splice Junction ,8
9,5'-UTR,5'-UTR,Exon from 5'-UTR to 5'-UTR,53487681,65.0,53487616,5,Exon,5
10,5'-UTR,5'-UTR,Intron from 5'-UTR to 5'-UTR,53488136,455.0,53487681,5,Intron,5
4,,,Splice Junction Exon from 5'-UTR to 5'-UTR to Intron from 5'-UTR to 5'-UTR,53487681,,53487681,5,Splice Junction ,9
0,,,Splice Junction Intron from 5'-UTR to 5'-UTR to Intron from Coding_Region to Coding_Region,53488259,,53488136,1,Splice Junction ,10
0,,,Translation_Start,53488137,,53488137,1,Translation_Start,1
11,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,53488566,307.0,53488259,1,Intron,6
0,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,53488567,,53488566,1,Splice Junction ,11
12,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,53488754,187.0,53488567,1,Exon,7
0,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,53488754,,53488754,1,Splice Junction ,12
13,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,53493361,4607.0,53488754,2,Intron,7
1,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,53493362,,53493361,2,Splice Junction ,13
14,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,53493529,167.0,53493362,2,Exon,8
15,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,53495651,2122.0,53493529,3,Intron,8
1,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,53493529,,53493529,2,Splice Junction ,14
2,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,53495652,,53495651,3,Splice Junction ,15
16,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,53495762,110.0,53495652,3,Exon,9
2,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,53495762,,53495762,3,Splice Junction ,16
17,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,53496462,700.0,53495762,4,Intron,9
3,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,53496463,,53496462,4,Splice Junction ,17
18,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,53496567,104.0,53496463,4,Exon,10
3,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,53496567,,53496567,4,Splice Junction ,18
19,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,53498136,1569.0,53496567,5,Intron,10
4,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,53498137,,53498136,5,Splice Junction ,19
20,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,53498275,138.0,53498137,5,Exon,11
21,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,53499348,1073.0,53498275,6,Intron,11
4,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,53498275,,53498275,5,Splice Junction ,20
5,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,53499349,,53499348,6,Splice Junction ,21
22,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,53499514,165.0,53499349,6,Exon,12
5,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,53499514,,53499514,6,Splice Junction ,22
23,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,53500968,1454.0,53499514,7,Intron,12
6,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,53500969,,53500968,7,Splice Junction ,23
24,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,53501081,112.0,53500969,7,Exon,13
25,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,53503826,2745.0,53501081,8,Intron,13
6,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,53501081,,53501081,7,Splice Junction ,24
7,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,53503827,,53503826,8,Splice Junction ,25
26,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,53504097,270.0,53503827,8,Exon,14
27,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,53504293,196.0,53504097,9,Intron,14
7,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,53504097,,53504097,8,Splice Junction ,26
