,End_Region,Start_Region,feature_classification,feature_end,feature_length,feature_start,feature_subtype_index,feature_type,feature_type_index
0,,,5'-UTR,37126329,5818.0,37120511,1,5'-UTR,1
1,5'-UTR,5'-UTR,Exon from 5'-UTR to 5'-UTR,37120624,113.0,37120511,1,Exon,1
2,5'-UTR,5'-UTR,Intron from 5'-UTR to 5'-UTR,37126307,5683.0,37120624,1,Intron,1
0,,,Splice Junction Exon from 5'-UTR to 5'-UTR to Intron from 5'-UTR to 5'-UTR,37120624,,37120624,1,Splice Junction ,1
0,,,Splice Junction Intron from 5'-UTR to 5'-UTR to Exon from 5'-UTR to Coding_Region,37126308,,37126307,1,Splice Junction ,2
3,Coding_Region,5'-UTR,Exon from 5'-UTR to Coding_Region,37126939,631.0,37126308,1,Exon,3
0,,,Translation_Start,37126329,,37126329,1,Translation_Start,1
4,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,37302183,175244.0,37126939,1,Intron,2
0,,,Splice Junction Exon from 5'-UTR to Coding_Region to Intron from Coding_Region to Coding_Region,37126939,,37126939,1,Splice Junction ,3
0,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,37302184,,37302183,1,Splice Junction ,4
5,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,37302228,44.0,37302184,1,Exon,4
6,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,37304183,1955.0,37302228,2,Intron,3
0,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,37302228,,37302228,1,Splice Junction ,5
1,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,37304184,,37304183,2,Splice Junction ,6
7,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,37304310,126.0,37304184,2,Exon,5
1,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,37304310,,37304310,2,Splice Junction ,7
8,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,37305539,1229.0,37304310,3,Intron,4
2,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,37305540,,37305539,3,Splice Junction ,8
9,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,37305711,171.0,37305540,3,Exon,6
10,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,37327794,22083.0,37305711,4,Intron,5
2,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,37305711,,37305711,3,Splice Junction ,9
3,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,37327795,,37327794,4,Splice Junction ,10
11,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,37327831,36.0,37327795,4,Exon,7
3,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,37327831,,37327831,4,Splice Junction ,11
12,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,37349352,21521.0,37327831,5,Intron,6
4,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,37349353,,37349352,5,Splice Junction ,12
13,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,37349449,96.0,37349353,5,Exon,8
14,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,37354705,5256.0,37349449,6,Intron,7
4,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,37349449,,37349449,5,Splice Junction ,13
5,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,37354706,,37354705,6,Splice Junction ,14
15,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,37354821,115.0,37354706,6,Exon,9
16,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,37356830,2009.0,37354821,7,Intron,8
5,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,37354821,,37354821,6,Splice Junction ,15
0,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to 3'-UTR,37356831,,37356830,1,Splice Junction ,16
17,3'-UTR,Coding_Region,Exon from Coding_Region to 3'-UTR,37358145,1314.0,37356831,1,Exon,2
0,,,Translation_End,37357265,,37357265,1,Translation_End,1
18,,,3'-UTR,37358145,880.0,37357265,1,3'-UTR,1
