,End_Region,Start_Region,feature_classification,feature_end,feature_length,feature_start,feature_subtype_index,feature_type,feature_type_index
0,,,5'-UTR,32582368.0,73.0,32582295.0,1,5'-UTR,1
1,Coding_Region,5'-UTR,Exon from 5'-UTR to Coding_Region,32582444.0,149.0,32582295.0,1,Exon,2
0,,,Translation_Start,32582368.0,,32582368.0,1,Translation_Start,1
0,,,Splice Junction Exon from 5'-UTR to Coding_Region to Intron from Coding_Region to Coding_Region,32582444.0,,32582444.0,1,Splice Junction ,1
2,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,32583239.0,795.0,32582444.0,1,Intron,1
0,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,32583240.0,,32583239.0,1,Splice Junction ,2
3,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,32583358.0,118.0,32583240.0,1,Exon,3
0,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,32583358.0,,32583358.0,1,Splice Junction ,3
4,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,32583739.0,381.0,32583358.0,2,Intron,2
0,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to 3'-UTR,32583740.0,,32583739.0,1,Splice Junction ,4
5,3'-UTR,Coding_Region,Exon from Coding_Region to 3'-UTR,32584220.0,480.0,32583740.0,1,Exon,1
0,,,Translation_End,32583846.0,,32583846.0,1,Translation_End,1
6,,,3'-UTR,32584220.0,374.0,32583846.0,1,3'-UTR,1
