,feature_classification,feature_end,feature_length,feature_start,feature_subtype_index,feature_type,feature_type_index
0,Exon in a ncRNA,132905801,638.0,132905163,1.0,Exon,1
0,Splice Junction Exon in a ncRNA to Splice Junction Exon in a ncRNA to Intron in a ncRNA,132905801,,132905801,,Splice Junction ,1
1,Splice Junction Splice Junction Exon in a ncRNA to Intron in a ncRNA to Intron in a ncRNA,132905801,,132905801,,Splice Junction ,2
1,Splice Junction Exon in a ncRNA to Intron in a ncRNA,132905801,,132905801,,Splice Junction ,1
2,Intron in a ncRNA,132908483,2682.0,132905801,1.0,Intron,1
2,Splice Junction Intron in a ncRNA to Splice Junction Intron in a ncRNA to Exon in a ncRNA,132908483,,132908483,,Splice Junction ,3
3,Splice Junction Intron in a ncRNA to Exon in a ncRNA,132908484,,132908483,,Splice Junction ,2
3,Splice Junction Splice Junction Intron in a ncRNA to Exon in a ncRNA to Exon in a ncRNA,132908484,,132908484,,Splice Junction ,4
4,Exon in a ncRNA,132908549,65.0,132908484,2.0,Exon,2
4,Splice Junction Exon in a ncRNA to Splice Junction Exon in a ncRNA to Intron in a ncRNA,132908549,,132908549,,Splice Junction ,5
5,Splice Junction Splice Junction Exon in a ncRNA to Intron in a ncRNA to Intron in a ncRNA,132908549,,132908549,,Splice Junction ,6
5,Splice Junction Exon in a ncRNA to Intron in a ncRNA,132908549,,132908549,,Splice Junction ,3
6,Intron in a ncRNA,132912233,3684.0,132908549,2.0,Intron,2
6,Splice Junction Intron in a ncRNA to Splice Junction Intron in a ncRNA to Exon in a ncRNA,132912233,,132912233,,Splice Junction ,7
7,Splice Junction Intron in a ncRNA to Exon in a ncRNA,132912234,,132912233,,Splice Junction ,4
7,Splice Junction Splice Junction Intron in a ncRNA to Exon in a ncRNA to Exon in a ncRNA,132912234,,132912234,,Splice Junction ,8
8,Exon in a ncRNA,132912341,107.0,132912234,3.0,Exon,3
8,Splice Junction Exon in a ncRNA to Splice Junction Exon in a ncRNA to Intron in a ncRNA,132912341,,132912341,,Splice Junction ,9
9,Splice Junction Splice Junction Exon in a ncRNA to Intron in a ncRNA to Intron in a ncRNA,132912341,,132912341,,Splice Junction ,10
9,Splice Junction Exon in a ncRNA to Intron in a ncRNA,132912341,,132912341,,Splice Junction ,5
10,Intron in a ncRNA,132914544,2203.0,132912341,3.0,Intron,3
10,Splice Junction Intron in a ncRNA to Splice Junction Intron in a ncRNA to Exon in a ncRNA,132914544,,132914544,,Splice Junction ,11
11,Splice Junction Intron in a ncRNA to Exon in a ncRNA,132914545,,132914544,,Splice Junction ,6
11,Splice Junction Splice Junction Intron in a ncRNA to Exon in a ncRNA to Exon in a ncRNA,132914545,,132914545,,Splice Junction ,12
12,Exon in a ncRNA,132914719,174.0,132914545,4.0,Exon,4
12,Splice Junction Exon in a ncRNA to Splice Junction Exon in a ncRNA to Intron in a ncRNA,132914719,,132914719,,Splice Junction ,13
13,Splice Junction Splice Junction Exon in a ncRNA to Intron in a ncRNA to Intron in a ncRNA,132914719,,132914719,,Splice Junction ,14
13,Splice Junction Exon in a ncRNA to Intron in a ncRNA,132914719,,132914719,,Splice Junction ,7
14,Intron in a ncRNA,133015100,100381.0,132914719,4.0,Intron,4
14,Splice Junction Intron in a ncRNA to Splice Junction Intron in a ncRNA to Exon in a ncRNA,133015100,,133015100,,Splice Junction ,15
15,Splice Junction Intron in a ncRNA to Exon in a ncRNA,133015101,,133015100,,Splice Junction ,8
15,Splice Junction Splice Junction Intron in a ncRNA to Exon in a ncRNA to Exon in a ncRNA,133015101,,133015101,,Splice Junction ,16
16,Exon in a ncRNA,133015542,441.0,133015101,5.0,Exon,5
