,feature_classification,feature_end,feature_length,feature_start,feature_subtype_index,feature_type,feature_type_index
0,Exon in a ncRNA,86133354,510.0,86132844,1.0,Exon,1
0,Splice Junction Exon in a ncRNA to Intron in a ncRNA,86133354,,86133354,,Splice Junction ,1
1,Intron in a ncRNA,86142312,8958.0,86133354,1.0,Intron,1
1,Splice Junction Intron in a ncRNA to Exon in a ncRNA,86142313,,86142312,,Splice Junction ,2
2,Exon in a ncRNA,86142429,116.0,86142313,2.0,Exon,2
2,Splice Junction Exon in a ncRNA to Intron in a ncRNA,86142429,,86142429,,Splice Junction ,3
3,Intron in a ncRNA,86162967,20538.0,86142429,2.0,Intron,2
3,Splice Junction Intron in a ncRNA to Exon in a ncRNA,86162968,,86162967,,Splice Junction ,4
4,Exon in a ncRNA,86163166,198.0,86162968,3.0,Exon,3
4,Splice Junction Exon in a ncRNA to Intron in a ncRNA,86163166,,86163166,,Splice Junction ,5
5,Intron in a ncRNA,86171648,8482.0,86163166,3.0,Intron,3
5,Splice Junction Intron in a ncRNA to Exon in a ncRNA,86171649,,86171648,,Splice Junction ,6
6,Exon in a ncRNA,86171768,119.0,86171649,4.0,Exon,4
6,Splice Junction Exon in a ncRNA to Intron in a ncRNA,86171768,,86171768,,Splice Junction ,7
7,Intron in a ncRNA,86178835,7067.0,86171768,4.0,Intron,4
7,Splice Junction Intron in a ncRNA to Exon in a ncRNA,86178836,,86178835,,Splice Junction ,8
8,Exon in a ncRNA,86178932,96.0,86178836,5.0,Exon,5
8,Splice Junction Exon in a ncRNA to Intron in a ncRNA,86178932,,86178932,,Splice Junction ,9
9,Intron in a ncRNA,86179444,512.0,86178932,5.0,Intron,5
9,Splice Junction Intron in a ncRNA to Exon in a ncRNA,86179445,,86179444,,Splice Junction ,10
10,Exon in a ncRNA,86179587,142.0,86179445,6.0,Exon,6
10,Splice Junction Exon in a ncRNA to Intron in a ncRNA,86179587,,86179587,,Splice Junction ,11
11,Intron in a ncRNA,86180129,542.0,86179587,6.0,Intron,6
11,Splice Junction Intron in a ncRNA to Exon in a ncRNA,86180130,,86180129,,Splice Junction ,12
12,Exon in a ncRNA,86180193,63.0,86180130,7.0,Exon,7
12,Splice Junction Exon in a ncRNA to Intron in a ncRNA,86180193,,86180193,,Splice Junction ,13
13,Intron in a ncRNA,86180699,506.0,86180193,7.0,Intron,7
13,Splice Junction Intron in a ncRNA to Exon in a ncRNA,86180700,,86180699,,Splice Junction ,14
14,Exon in a ncRNA,86180856,156.0,86180700,8.0,Exon,8
14,Splice Junction Exon in a ncRNA to Intron in a ncRNA,86180856,,86180856,,Splice Junction ,15
15,Intron in a ncRNA,86351939,171083.0,86180856,8.0,Intron,8
15,Splice Junction Intron in a ncRNA to Exon in a ncRNA,86351940,,86351939,,Splice Junction ,16
16,Exon in a ncRNA,86352138,198.0,86351940,9.0,Exon,9
