,feature_classification,feature_end,feature_length,feature_start,feature_subtype_index,feature_type,feature_type_index
0,Exon in a ncRNA,62620153,694.0,62619459,1.0,Exon,1
0,Splice Junction Exon in a ncRNA to Intron in a ncRNA,62620153,,62620153,,Splice Junction ,1
1,Intron in a ncRNA,62620281,128.0,62620153,1.0,Intron,1
1,Splice Junction Intron in a ncRNA to Exon in a ncRNA,62620282,,62620281,,Splice Junction ,2
2,Exon in a ncRNA,62621062,780.0,62620282,2.0,Exon,2
2,Splice Junction Exon in a ncRNA to Intron in a ncRNA,62621062,,62621062,,Splice Junction ,3
3,Intron in a ncRNA,62621271,209.0,62621062,2.0,Intron,2
3,Splice Junction Intron in a ncRNA to Exon in a ncRNA,62621272,,62621271,,Splice Junction ,4
4,Exon in a ncRNA,62621536,264.0,62621272,3.0,Exon,3
4,Splice Junction Exon in a ncRNA to Intron in a ncRNA,62621536,,62621536,,Splice Junction ,5
5,Intron in a ncRNA,62621989,453.0,62621536,3.0,Intron,3
5,Splice Junction Intron in a ncRNA to Exon in a ncRNA,62621990,,62621989,,Splice Junction ,6
6,Exon in a ncRNA,62622023,33.0,62621990,4.0,Exon,4
6,Splice Junction Exon in a ncRNA to Intron in a ncRNA,62622023,,62622023,,Splice Junction ,7
7,Intron in a ncRNA,62622358,335.0,62622023,4.0,Intron,4
7,Splice Junction Intron in a ncRNA to Exon in a ncRNA,62622359,,62622358,,Splice Junction ,8
8,Exon in a ncRNA,62623357,998.0,62622359,5.0,Exon,5
