,feature_classification,feature_end,feature_length,feature_start,feature_subtype_index,feature_type,feature_type_index
0,Exon in a ncRNA,21455943,1677.0,21454266,1.0,Exon,1
0,Splice Junction Exon in a ncRNA to Intron in a ncRNA,21455943,,21455943,,Splice Junction ,1
1,Intron in a ncRNA,21476896,20953.0,21455943,1.0,Intron,1
1,Splice Junction Intron in a ncRNA to Exon in a ncRNA,21476897,,21476896,,Splice Junction ,2
2,Exon in a ncRNA,21477034,137.0,21476897,2.0,Exon,2
2,Splice Junction Exon in a ncRNA to Intron in a ncRNA,21477034,,21477034,,Splice Junction ,3
3,Intron in a ncRNA,21477166,132.0,21477034,2.0,Intron,2
3,Splice Junction Intron in a ncRNA to Exon in a ncRNA,21477167,,21477166,,Splice Junction ,4
4,Exon in a ncRNA,21477291,124.0,21477167,3.0,Exon,3
4,Splice Junction Exon in a ncRNA to Intron in a ncRNA,21477291,,21477291,,Splice Junction ,5
5,Intron in a ncRNA,21559486,82195.0,21477291,3.0,Intron,3
5,Splice Junction Intron in a ncRNA to Exon in a ncRNA,21559487,,21559486,,Splice Junction ,6
6,Exon in a ncRNA,21559697,210.0,21559487,4.0,Exon,4
