,ClusterEnd,ClusterID,ClusterStart,ConversionEventCount,Dataset
0,10235,G2454.1,10219,54,IonXpress_SFPQ_N
1,30037,G2456.1,30018,15,IonXpress_SFPQ_N
2,40524,G2458.1,40512,6,IonXpress_SFPQ_N
3,41537,G2459.1,41507,81,IonXpress_SFPQ_N
4,42684,G2460.1,42651,115,IonXpress_SFPQ_N
5,18686,G2068.1,18659,40,IonXpress_NONO_N
6,18822,G2068.2,18809,7,IonXpress_NONO_N
7,18852,G2068.3,18830,8,IonXpress_NONO_N
8,19428,G2069.1,19420,16,IonXpress_NONO_N
9,19486,G2070.1,19464,52,IonXpress_NONO_N
10,25008,G2071.1,24986,55,IonXpress_NONO_N
11,28388,G2072.1,28372,19,IonXpress_NONO_N
12,28467,G2072.2,28437,23,IonXpress_NONO_N
13,30979,G2073.1,30958,48,IonXpress_NONO_N
14,32727,G2074.1,32715,6,IonXpress_NONO_N
15,38059,G2076.1,38036,84,IonXpress_NONO_N
16,38231,G2077.1,38210,14,IonXpress_NONO_N
17,38269,G2077.2,38256,10,IonXpress_NONO_N
18,38315,G2077.3,38284,33,IonXpress_NONO_N
19,40031,G2078.1,40017,49,IonXpress_NONO_N
20,40069,G2079.1,40051,16,IonXpress_NONO_N
21,40113,G2079.2,40091,22,IonXpress_NONO_N
22,42630,G2080.1,42606,22,IonXpress_NONO_N
23,42650,G2080.2,42631,34,IonXpress_NONO_N
24,42665,G2080.3,42653,10,IonXpress_NONO_N
25,42937,G2081.1,42909,60,IonXpress_NONO_N
26,43474,G2082.1,43464,4,IonXpress_NONO_N
27,43499,G2082.2,43483,46,IonXpress_NONO_N
28,43519,G2082.3,43502,38,IonXpress_NONO_N
29,44765,G2083.1,44722,49,IonXpress_NONO_N
