,End_Region,Start_Region,feature_classification,feature_end,feature_length,feature_start,feature_subtype_index,feature_type,feature_type_index
0,,,Translation_Start,2082527.0,,2082527.0,1,Translation_Start,1
0,,,5'-UTR,2082527.0,0.0,2082527.0,1,5'-UTR,1
1,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,2083412.0,591.0,2082821.0,1,Intron,2
0,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,2083413.0,,2083412.0,1,Splice Junction ,1
2,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,2084011.0,598.0,2083413.0,1,Exon,3
0,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,2084011.0,,2084011.0,1,Splice Junction ,2
3,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,2097310.0,13299.0,2084011.0,2,Intron,3
0,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to 3'-UTR,2097311.0,,2097310.0,1,Splice Junction ,3
4,3'-UTR,Coding_Region,Exon from Coding_Region to 3'-UTR,2098061.0,750.0,2097311.0,1,Exon,2
0,,,Translation_End,2098024.0,,2098024.0,1,Translation_End,1
5,,,3'-UTR,2129198.0,31174.0,2098024.0,1,3'-UTR,1
0,,,Splice Junction Exon from Coding_Region to 3'-UTR to Intron from 3'-UTR to 3'-UTR,2098061.0,,2098061.0,1,Splice Junction ,4
6,3'-UTR,3'-UTR,Intron from 3'-UTR to 3'-UTR,2124428.0,26367.0,2098061.0,1,Intron,1
0,,,Splice Junction Intron from 3'-UTR to 3'-UTR to Exon from 3'-UTR to 3'-UTR,2124429.0,,2124428.0,1,Splice Junction ,5
7,3'-UTR,3'-UTR,Exon from 3'-UTR to 3'-UTR,2129198.0,4769.0,2124429.0,1,Exon,1
