,feature_end,feature_start,feature_type
0,91726846,91726322,5'-UTR
1,91870426,91845703,3'-UTR
2,91726916,91726322,Exon
3,91727949,91727797,Exon
4,91728149,91728037,Exon
5,91731664,91731573,Exon
6,91733412,91733301,Exon
7,91739372,91739268,Exon
8,91740366,91740286,Exon
9,91742300,91742184,Exon
10,91742619,91742538,Exon
11,91779052,91778905,Exon
12,91779617,91779513,Exon
13,91781529,91781371,Exon
14,91781741,91781657,Exon
15,91782033,91781947,Exon
16,91784766,91784634,Exon
17,91784947,91784849,Exon
18,91788554,91788506,Exon
19,91788756,91788649,Exon
20,91790323,91790231,Exon
21,91809067,91808986,Exon
22,91813033,91812985,Exon
23,91816428,91816294,Exon
24,91817200,91817105,Exon
25,91818208,91818062,Exon
26,91818709,91818607,Exon
27,91818856,91818812,Exon
28,91841003,91840914,Exon
29,91841284,91841083,Exon
30,91843740,91843581,Exon
31,91844037,91843959,Exon
32,91844771,91844619,Exon
33,91845793,91845660,Exon
34,91846486,91846468,Exon
35,91866666,91866568,Exon
36,91870426,91870354,Exon
