,feature_classification,feature_end,feature_length,feature_start,feature_subtype_index,feature_type,feature_type_index
0,Exon in a ncRNA,22448813,485.0,22448328,1.0,Exon,1
0,Splice Junction Exon in a ncRNA to Splice Junction Exon in a ncRNA to Intron in a ncRNA,22448813,,22448813,,Splice Junction ,1
1,Splice Junction Splice Junction Exon in a ncRNA to Intron in a ncRNA to Intron in a ncRNA,22448813,,22448813,,Splice Junction ,2
1,Splice Junction Exon in a ncRNA to Intron in a ncRNA,22448813,,22448813,,Splice Junction ,1
2,Intron in a ncRNA,22466021,17208.0,22448813,1.0,Intron,1
2,Splice Junction Intron in a ncRNA to Splice Junction Intron in a ncRNA to Exon in a ncRNA,22466021,,22466021,,Splice Junction ,3
3,Splice Junction Intron in a ncRNA to Exon in a ncRNA,22466022,,22466021,,Splice Junction ,2
3,Splice Junction Splice Junction Intron in a ncRNA to Exon in a ncRNA to Exon in a ncRNA,22466022,,22466022,,Splice Junction ,4
4,Exon in a ncRNA,22466186,164.0,22466022,2.0,Exon,2
4,Splice Junction Exon in a ncRNA to Splice Junction Exon in a ncRNA to Intron in a ncRNA,22466186,,22466186,,Splice Junction ,5
5,Splice Junction Splice Junction Exon in a ncRNA to Intron in a ncRNA to Intron in a ncRNA,22466186,,22466186,,Splice Junction ,6
5,Splice Junction Exon in a ncRNA to Intron in a ncRNA,22466186,,22466186,,Splice Junction ,3
6,Intron in a ncRNA,22466769,583.0,22466186,2.0,Intron,2
6,Splice Junction Intron in a ncRNA to Splice Junction Intron in a ncRNA to Exon in a ncRNA,22466769,,22466769,,Splice Junction ,7
7,Splice Junction Intron in a ncRNA to Exon in a ncRNA,22466770,,22466769,,Splice Junction ,4
7,Splice Junction Splice Junction Intron in a ncRNA to Exon in a ncRNA to Exon in a ncRNA,22466770,,22466770,,Splice Junction ,8
8,Exon in a ncRNA,22466926,156.0,22466770,3.0,Exon,3
8,Splice Junction Exon in a ncRNA to Splice Junction Exon in a ncRNA to Intron in a ncRNA,22466926,,22466926,,Splice Junction ,9
