,feature_classification,feature_end,feature_length,feature_start,feature_subtype_index,feature_type,feature_type_index
0,Exon in a ncRNA,77590173,408.0,77589765,1.0,Exon,1
0,Splice Junction Exon in a ncRNA to Intron in a ncRNA,77590173,,77590173,,Splice Junction ,1
1,Intron in a ncRNA,77594876,4703.0,77590173,1.0,Intron,1
1,Splice Junction Intron in a ncRNA to Exon in a ncRNA,77594877,,77594876,,Splice Junction ,2
2,Exon in a ncRNA,77594998,121.0,77594877,2.0,Exon,2
2,Splice Junction Exon in a ncRNA to Intron in a ncRNA,77594998,,77594998,,Splice Junction ,3
3,Intron in a ncRNA,77602363,7365.0,77594998,2.0,Intron,2
3,Splice Junction Intron in a ncRNA to Exon in a ncRNA,77602364,,77602363,,Splice Junction ,4
4,Exon in a ncRNA,77602508,144.0,77602364,3.0,Exon,3
4,Splice Junction Exon in a ncRNA to Intron in a ncRNA,77602508,,77602508,,Splice Junction ,5
5,Intron in a ncRNA,77602725,217.0,77602508,3.0,Intron,3
5,Splice Junction Intron in a ncRNA to Exon in a ncRNA,77602726,,77602725,,Splice Junction ,6
6,Exon in a ncRNA,77602886,160.0,77602726,4.0,Exon,4
6,Splice Junction Exon in a ncRNA to Intron in a ncRNA,77602886,,77602886,,Splice Junction ,7
7,Intron in a ncRNA,77605334,2448.0,77602886,4.0,Intron,4
7,Splice Junction Intron in a ncRNA to Exon in a ncRNA,77605335,,77605334,,Splice Junction ,8
8,Exon in a ncRNA,77605395,60.0,77605335,5.0,Exon,5
8,Splice Junction Exon in a ncRNA to Intron in a ncRNA,77605395,,77605395,,Splice Junction ,9
9,Intron in a ncRNA,77612465,7070.0,77605395,5.0,Intron,5
9,Splice Junction Intron in a ncRNA to Exon in a ncRNA,77612466,,77612465,,Splice Junction ,10
10,Exon in a ncRNA,77612597,131.0,77612466,6.0,Exon,6
10,Splice Junction Exon in a ncRNA to Intron in a ncRNA,77612597,,77612597,,Splice Junction ,11
11,Intron in a ncRNA,77614584,1987.0,77612597,6.0,Intron,6
11,Splice Junction Intron in a ncRNA to Exon in a ncRNA,77614585,,77614584,,Splice Junction ,12
12,Exon in a ncRNA,77614666,81.0,77614585,7.0,Exon,7
12,Splice Junction Exon in a ncRNA to Intron in a ncRNA,77614666,,77614666,,Splice Junction ,13
13,Intron in a ncRNA,77618761,4095.0,77614666,7.0,Intron,7
13,Splice Junction Intron in a ncRNA to Exon in a ncRNA,77618762,,77618761,,Splice Junction ,14
14,Exon in a ncRNA,77618856,94.0,77618762,8.0,Exon,8
14,Splice Junction Exon in a ncRNA to Intron in a ncRNA,77618856,,77618856,,Splice Junction ,15
15,Intron in a ncRNA,77622014,3158.0,77618856,8.0,Intron,8
15,Splice Junction Intron in a ncRNA to Exon in a ncRNA,77622015,,77622014,,Splice Junction ,16
16,Exon in a ncRNA,77622198,183.0,77622015,9.0,Exon,9
16,Splice Junction Exon in a ncRNA to Intron in a ncRNA,77622198,,77622198,,Splice Junction ,17
17,Intron in a ncRNA,77629075,6877.0,77622198,9.0,Intron,9
17,Splice Junction Intron in a ncRNA to Exon in a ncRNA,77629076,,77629075,,Splice Junction ,18
18,Exon in a ncRNA,77629310,234.0,77629076,10.0,Exon,10
18,Splice Junction Exon in a ncRNA to Intron in a ncRNA,77629310,,77629310,,Splice Junction ,19
19,Intron in a ncRNA,77629865,555.0,77629310,10.0,Intron,10
19,Splice Junction Intron in a ncRNA to Exon in a ncRNA,77629866,,77629865,,Splice Junction ,20
20,Exon in a ncRNA,77630024,158.0,77629866,11.0,Exon,11
20,Splice Junction Exon in a ncRNA to Intron in a ncRNA,77630024,,77630024,,Splice Junction ,21
21,Intron in a ncRNA,77632384,2360.0,77630024,11.0,Intron,11
21,Splice Junction Intron in a ncRNA to Exon in a ncRNA,77632385,,77632384,,Splice Junction ,22
22,Exon in a ncRNA,77632519,134.0,77632385,12.0,Exon,12
22,Splice Junction Exon in a ncRNA to Intron in a ncRNA,77632519,,77632519,,Splice Junction ,23
23,Intron in a ncRNA,77633400,881.0,77632519,12.0,Intron,12
23,Splice Junction Intron in a ncRNA to Exon in a ncRNA,77633401,,77633400,,Splice Junction ,24
24,Exon in a ncRNA,77633517,116.0,77633401,13.0,Exon,13
24,Splice Junction Exon in a ncRNA to Intron in a ncRNA,77633517,,77633517,,Splice Junction ,25
25,Intron in a ncRNA,77635794,2277.0,77633517,13.0,Intron,13
25,Splice Junction Intron in a ncRNA to Exon in a ncRNA,77635795,,77635794,,Splice Junction ,26
26,Exon in a ncRNA,77635938,143.0,77635795,14.0,Exon,14
26,Splice Junction Exon in a ncRNA to Intron in a ncRNA,77635938,,77635938,,Splice Junction ,27
27,Intron in a ncRNA,77639386,3448.0,77635938,14.0,Intron,14
27,Splice Junction Intron in a ncRNA to Exon in a ncRNA,77639387,,77639386,,Splice Junction ,28
28,Exon in a ncRNA,77639593,206.0,77639387,15.0,Exon,15
28,Splice Junction Exon in a ncRNA to Intron in a ncRNA,77639593,,77639593,,Splice Junction ,29
29,Intron in a ncRNA,77649695,10102.0,77639593,15.0,Intron,15
29,Splice Junction Intron in a ncRNA to Exon in a ncRNA,77649696,,77649695,,Splice Junction ,30
30,Exon in a ncRNA,77649871,175.0,77649696,16.0,Exon,16
30,Splice Junction Exon in a ncRNA to Intron in a ncRNA,77649871,,77649871,,Splice Junction ,31
31,Intron in a ncRNA,77652224,2353.0,77649871,16.0,Intron,16
31,Splice Junction Intron in a ncRNA to Exon in a ncRNA,77652225,,77652224,,Splice Junction ,32
32,Exon in a ncRNA,77652297,72.0,77652225,17.0,Exon,17
32,Splice Junction Exon in a ncRNA to Intron in a ncRNA,77652297,,77652297,,Splice Junction ,33
33,Intron in a ncRNA,77666986,14689.0,77652297,17.0,Intron,17
33,Splice Junction Intron in a ncRNA to Exon in a ncRNA,77666987,,77666986,,Splice Junction ,34
34,Exon in a ncRNA,77667108,121.0,77666987,18.0,Exon,18
34,Splice Junction Exon in a ncRNA to Intron in a ncRNA,77667108,,77667108,,Splice Junction ,35
35,Intron in a ncRNA,77669790,2682.0,77667108,18.0,Intron,18
35,Splice Junction Intron in a ncRNA to Exon in a ncRNA,77669791,,77669790,,Splice Junction ,36
36,Exon in a ncRNA,77669880,89.0,77669791,19.0,Exon,19
36,Splice Junction Exon in a ncRNA to Intron in a ncRNA,77669880,,77669880,,Splice Junction ,37
37,Intron in a ncRNA,77671385,1505.0,77669880,19.0,Intron,19
37,Splice Junction Intron in a ncRNA to Exon in a ncRNA,77671386,,77671385,,Splice Junction ,38
38,Exon in a ncRNA,77671437,51.0,77671386,20.0,Exon,20
38,Splice Junction Exon in a ncRNA to Intron in a ncRNA,77671437,,77671437,,Splice Junction ,39
39,Intron in a ncRNA,77671997,560.0,77671437,20.0,Intron,20
39,Splice Junction Intron in a ncRNA to Exon in a ncRNA,77671998,,77671997,,Splice Junction ,40
40,Exon in a ncRNA,77672184,186.0,77671998,21.0,Exon,21
40,Splice Junction Exon in a ncRNA to Intron in a ncRNA,77672184,,77672184,,Splice Junction ,41
41,Intron in a ncRNA,77692503,20319.0,77672184,21.0,Intron,21
41,Splice Junction Intron in a ncRNA to Exon in a ncRNA,77692504,,77692503,,Splice Junction ,42
42,Exon in a ncRNA,77692622,118.0,77692504,22.0,Exon,22
42,Splice Junction Exon in a ncRNA to Intron in a ncRNA,77692622,,77692622,,Splice Junction ,43
43,Intron in a ncRNA,77702152,9530.0,77692622,22.0,Intron,22
43,Splice Junction Intron in a ncRNA to Exon in a ncRNA,77702153,,77702152,,Splice Junction ,44
44,Exon in a ncRNA,77702345,192.0,77702153,23.0,Exon,23
44,Splice Junction Exon in a ncRNA to Intron in a ncRNA,77702345,,77702345,,Splice Junction ,45
45,Intron in a ncRNA,77705634,3289.0,77702345,23.0,Intron,23
45,Splice Junction Intron in a ncRNA to Exon in a ncRNA,77705635,,77705634,,Splice Junction ,46
46,Exon in a ncRNA,77705717,82.0,77705635,24.0,Exon,24
