,End_Region,Start_Region,feature_classification,feature_end,feature_length,feature_start,feature_subtype_index,feature_type,feature_type_index
0,,,5'-UTR,89627367.0,20.0,89627347.0,1,5'-UTR,1
1,Coding_Region,5'-UTR,Exon from 5'-UTR to Coding_Region,89627471.0,124.0,89627347.0,1,Exon,3
0,,,Translation_Start,89627367.0,,89627367.0,1,Translation_Start,1
2,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,89627633.0,162.0,89627471.0,1,Intron,2
0,,,Splice Junction Exon from 5'-UTR to Coding_Region to Intron from Coding_Region to Coding_Region,89627471.0,,89627471.0,1,Splice Junction ,1
0,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,89627634.0,,89627633.0,1,Splice Junction ,2
3,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,89627747.0,113.0,89627634.0,1,Exon,4
0,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,89627747.0,,89627747.0,1,Splice Junction ,3
4,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,89628071.0,324.0,89627747.0,2,Intron,3
1,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,89628072.0,,89628071.0,2,Splice Junction ,4
5,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,89628159.0,87.0,89628072.0,2,Exon,5
6,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,89628741.0,582.0,89628159.0,3,Intron,4
1,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,89628159.0,,89628159.0,2,Splice Junction ,5
0,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to 3'-UTR,89628742.0,,89628741.0,1,Splice Junction ,6
7,3'-UTR,Coding_Region,Exon from Coding_Region to 3'-UTR,89628799.0,57.0,89628742.0,1,Exon,2
0,,,Translation_End,89628747.0,,89628747.0,1,Translation_End,1
8,,,3'-UTR,89633237.0,4490.0,89628747.0,1,3'-UTR,1
0,,,Splice Junction Exon from Coding_Region to 3'-UTR to Intron from 3'-UTR to 3'-UTR,89628799.0,,89628799.0,1,Splice Junction ,7
9,3'-UTR,3'-UTR,Intron from 3'-UTR to 3'-UTR,89629290.0,491.0,89628799.0,1,Intron,1
0,,,Splice Junction Intron from 3'-UTR to 3'-UTR to Exon from 3'-UTR to 3'-UTR,89629291.0,,89629290.0,1,Splice Junction ,8
10,3'-UTR,3'-UTR,Exon from 3'-UTR to 3'-UTR,89633237.0,3946.0,89629291.0,1,Exon,1
