,End_Region,Start_Region,feature_classification,feature_end,feature_length,feature_start,feature_subtype_index,feature_type,feature_type_index
0,,,5'-UTR,168867408.0,18.0,168867390.0,1,5'-UTR,1
1,Coding_Region,5'-UTR,Exon from 5'-UTR to Coding_Region,168867543.0,153.0,168867390.0,1,Exon,2
0,,,Translation_Start,168867408.0,,168867408.0,1,Translation_Start,1
0,,,Splice Junction Exon from 5'-UTR to Coding_Region to Intron from Coding_Region to Coding_Region,168867543.0,,168867543.0,1,Splice Junction ,1
2,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,169098973.0,231430.0,168867543.0,1,Intron,1
0,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,169098974.0,,169098973.0,1,Splice Junction ,2
3,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,169099312.0,338.0,169098974.0,1,Exon,3
0,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,169099312.0,,169099312.0,1,Splice Junction ,3
4,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,169381122.0,281810.0,169099312.0,2,Intron,2
0,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to 3'-UTR,169381123.0,,169381122.0,1,Splice Junction ,4
5,3'-UTR,Coding_Region,Exon from Coding_Region to 3'-UTR,169381563.0,440.0,169381123.0,1,Exon,1
0,,,Translation_End,169381160.0,,169381160.0,1,Translation_End,1
6,,,3'-UTR,169381563.0,403.0,169381160.0,1,3'-UTR,1
