,End_Region,Start_Region,feature_classification,feature_end,feature_length,feature_start,feature_subtype_index,feature_type,feature_type_index
0,,,5'-UTR,16342455,155.0,16342300,1,5'-UTR,1
1,Coding_Region,5'-UTR,Exon from 5'-UTR to Coding_Region,16342728,428.0,16342300,1,Exon,3
0,,,Translation_Start,16342455,,16342455,1,Translation_Start,1
2,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,16342972,244.0,16342728,1,Intron,2
0,,,Splice Junction Exon from 5'-UTR to Coding_Region to Intron from Coding_Region to Coding_Region,16342728,,16342728,1,Splice Junction ,1
0,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,16342973,,16342972,1,Splice Junction ,2
3,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,16343017,44.0,16342973,1,Exon,4
0,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,16343017,,16343017,1,Splice Junction ,3
4,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,16343497,480.0,16343017,2,Intron,3
1,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,16343498,,16343497,2,Splice Junction ,4
5,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,16343567,69.0,16343498,2,Exon,5
6,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,16344386,819.0,16343567,3,Intron,4
1,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,16343567,,16343567,2,Splice Junction ,5
0,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to 3'-UTR,16344387,,16344386,1,Splice Junction ,6
7,3'-UTR,Coding_Region,Exon from Coding_Region to 3'-UTR,16344444,57.0,16344387,1,Exon,2
0,,,Translation_End,16344394,,16344394,1,Translation_End,1
8,,,3'-UTR,16345340,946.0,16344394,1,3'-UTR,1
0,,,Splice Junction Exon from Coding_Region to 3'-UTR to Intron from 3'-UTR to 3'-UTR,16344444,,16344444,1,Splice Junction ,7
9,3'-UTR,3'-UTR,Intron from 3'-UTR to 3'-UTR,16344680,236.0,16344444,1,Intron,1
0,,,Splice Junction Intron from 3'-UTR to 3'-UTR to Exon from 3'-UTR to 3'-UTR,16344681,,16344680,1,Splice Junction ,8
10,3'-UTR,3'-UTR,Exon from 3'-UTR to 3'-UTR,16345340,659.0,16344681,1,Exon,1
