,ClusterEnd,ClusterID,ClusterStart,ConversionEventCount,Dataset
0,455581,G382.1,455555,3,IonXpress_SFPQ_N
1,482235,G383.1,482214,95,IonXpress_SFPQ_N
2,315421,G285.1,315379,41,IonXpress_NONO_N
3,316668,G286.1,316653,42,IonXpress_NONO_N
4,342205,G287.1,342177,52,IonXpress_NONO_N
5,437298,G288.1,437269,48,IonXpress_NONO_N
6,443855,G289.1,443836,35,IonXpress_NONO_N
7,443898,G289.2,443862,25,IonXpress_NONO_N
8,443924,G289.3,443907,31,IonXpress_NONO_N
9,443943,G289.4,443933,12,IonXpress_NONO_N
10,459731,G290.1,459686,82,IonXpress_NONO_N
11,461367,G291.1,461348,46,IonXpress_NONO_N
12,461528,G292.1,461505,69,IonXpress_NONO_N
13,491796,G293.1,491763,23,IonXpress_NONO_N
14,491827,G293.2,491811,25,IonXpress_NONO_N
15,491878,G293.3,491858,20,IonXpress_NONO_N
16,501719,G294.1,501701,79,IonXpress_NONO_N
17,506527,G295.1,506498,67,IonXpress_NONO_N
18,507897,G296.1,507871,43,IonXpress_NONO_N
19,517001,G298.1,516976,45,IonXpress_NONO_N
20,535416,G299.1,535376,46,IonXpress_NONO_N
21,540163,G301.1,540124,22,IonXpress_NONO_N
22,544930,G302.1,544907,82,IonXpress_NONO_N
23,546078,G303.1,546052,35,IonXpress_NONO_N
24,546586,G304.1,546568,18,IonXpress_NONO_N
25,546651,G304.2,546618,30,IonXpress_NONO_N
26,552691,G305.1,552660,55,IonXpress_NONO_N
27,553370,G306.1,553346,80,IonXpress_NONO_N
28,553911,G307.1,553891,42,IonXpress_NONO_N
29,554217,G308.1,554204,64,IonXpress_NONO_N
