,End_Region,Start_Region,feature_classification,feature_end,feature_length,feature_start,feature_subtype_index,feature_type,feature_type_index
0,,,5'-UTR,38424418.0,1122.0,38423296.0,1,5'-UTR,1
1,Coding_Region,5'-UTR,Exon from 5'-UTR to Coding_Region,38424526.0,1230.0,38423296.0,1,Exon,2
0,,,Translation_Start,38424418.0,,38424418.0,1,Translation_Start,1
2,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,38429403.0,4877.0,38424526.0,1,Intron,1
0,,,Splice Junction Exon from 5'-UTR to Coding_Region to Intron from Coding_Region to Coding_Region,38424526.0,,38424526.0,1,Splice Junction ,1
0,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,38429404.0,,38429403.0,1,Splice Junction ,2
3,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,38429506.0,102.0,38429404.0,1,Exon,3
0,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,38429506.0,,38429506.0,1,Splice Junction ,3
4,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,38431347.0,1841.0,38429506.0,2,Intron,2
1,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,38431348.0,,38431347.0,2,Splice Junction ,4
5,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,38431618.0,270.0,38431348.0,2,Exon,4
6,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,38433603.0,1985.0,38431618.0,3,Intron,3
1,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,38431618.0,,38431618.0,2,Splice Junction ,5
2,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,38433604.0,,38433603.0,3,Splice Junction ,6
7,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,38433814.0,210.0,38433604.0,3,Exon,5
8,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,38462019.0,28205.0,38433814.0,4,Intron,4
2,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,38433814.0,,38433814.0,3,Splice Junction ,7
3,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,38462020.0,,38462019.0,4,Splice Junction ,8
9,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,38462077.0,57.0,38462020.0,4,Exon,6
10,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,38466552.0,4475.0,38462077.0,5,Intron,5
3,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,38462077.0,,38462077.0,4,Splice Junction ,9
4,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,38466553.0,,38466552.0,5,Splice Junction ,10
11,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,38466586.0,33.0,38466553.0,5,Exon,7
12,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,38468654.0,2068.0,38466586.0,6,Intron,6
4,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,38466586.0,,38466586.0,5,Splice Junction ,11
5,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,38468655.0,,38468654.0,6,Splice Junction ,12
13,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,38469177.0,522.0,38468655.0,6,Exon,8
14,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,38469440.0,263.0,38469177.0,7,Intron,7
5,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,38469177.0,,38469177.0,6,Splice Junction ,13
6,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,38469441.0,,38469440.0,7,Splice Junction ,14
15,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,38469465.0,24.0,38469441.0,7,Exon,9
16,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,38471787.0,2322.0,38469465.0,8,Intron,8
6,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,38469465.0,,38469465.0,7,Splice Junction ,15
7,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,38471788.0,,38471787.0,8,Splice Junction ,16
17,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,38471812.0,24.0,38471788.0,8,Exon,10
7,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,38471812.0,,38471812.0,8,Splice Junction ,17
18,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,38475870.0,4058.0,38471812.0,9,Intron,9
8,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,38475871.0,,38475870.0,9,Splice Junction ,18
19,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,38475988.0,117.0,38475871.0,9,Exon,11
20,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,38500881.0,24893.0,38475988.0,10,Intron,10
8,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,38475988.0,,38475988.0,9,Splice Junction ,19
9,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,38500882.0,,38500881.0,10,Splice Junction ,20
21,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,38501011.0,129.0,38500882.0,10,Exon,12
9,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,38501011.0,,38501011.0,10,Splice Junction ,21
22,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,38502573.0,1562.0,38501011.0,11,Intron,11
10,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,38502574.0,,38502573.0,11,Splice Junction ,22
23,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,38502713.0,139.0,38502574.0,11,Exon,13
24,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,38503687.0,974.0,38502713.0,12,Intron,12
10,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,38502713.0,,38502713.0,11,Splice Junction ,23
0,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to 3'-UTR,38503688.0,,38503687.0,1,Splice Junction ,24
25,3'-UTR,Coding_Region,Exon from Coding_Region to 3'-UTR,38503700.0,12.0,38503688.0,1,Exon,1
0,,,Translation_End,38503696.0,,38503696.0,1,Translation_End,1
26,,,3'-UTR,38503700.0,4.0,38503696.0,1,3'-UTR,1
