,End_Region,Start_Region,feature_classification,feature_end,feature_length,feature_start,feature_subtype_index,feature_type,feature_type_index
1,5'-UTR,5'-UTR,Exon from 5'-UTR to 5'-UTR,17217006,75.0,17216931,1.0,Exon,1
0,,,5'-UTR,17275325,58394.0,17216931,1.0,5'-UTR,1
1,,,Splice Junction Exon from 5'-UTR to 5'-UTR to Splice Junction Exon from 5'-UTR to 5'-UTR to Intron from 5'-UTR to 5'-UTR,17217006,,17217006,,Splice Junction ,2
2,,,Splice Junction Splice Junction Exon from 5'-UTR to 5'-UTR to Intron from 5'-UTR to 5'-UTR to Intron from 5'-UTR to 5'-UTR,17217006,,17217006,,Splice Junction ,3
2,,,Splice Junction Exon from 5'-UTR to 5'-UTR to Intron from 5'-UTR to 5'-UTR,17217006,,17217006,1.0,Splice Junction ,1
3,5'-UTR,5'-UTR,Intron from 5'-UTR to 5'-UTR,17275315,58309.0,17217006,1.0,Intron,1
3,,,Splice Junction Intron from 5'-UTR to 5'-UTR to Splice Junction Intron from 5'-UTR to 5'-UTR to Exon from 5'-UTR to 3'-UTR,17275315,,17275315,,Splice Junction ,4
4,,,Splice Junction Intron from 5'-UTR to 5'-UTR to Exon from 5'-UTR to 3'-UTR,17275316,,17275315,1.0,Splice Junction ,2
4,,,Splice Junction Splice Junction Intron from 5'-UTR to 5'-UTR to Exon from 5'-UTR to 3'-UTR to Exon from 5'-UTR to 3'-UTR,17275316,,17275316,,Splice Junction ,5
5,3'-UTR,5'-UTR,Exon from 5'-UTR to 3'-UTR,17276954,1638.0,17275316,1.0,Exon,2
0,,,Splice Junction 5'-UTR to Exon from 5'-UTR to 5'-UTR,17216931,,17275325,,Splice Junction ,1
6,,,Translation_Start,17275325,,17275325,1.0,Translation_Start,1
6,,,Splice Junction Translation_Start to Translation_End,17276009,,17275325,,Splice Junction ,7
7,,,Splice Junction Translation_End to 3'-UTR,17276009,,17276009,,Splice Junction ,8
7,,,Translation_End,17276009,,17276009,1.0,Translation_End,1
8,,,3'-UTR,17276954,945.0,17276009,1.0,3'-UTR,1
5,,,Splice Junction Exon from 5'-UTR to 3'-UTR to Translation_Start,17275325,,17276954,,Splice Junction ,6
