,feature_classification,feature_end,feature_length,feature_start,feature_subtype_index,feature_type,feature_type_index
0,Exon in a ncRNA,135847442,219.0,135847223,1.0,Exon,1
0,Splice Junction Exon in a ncRNA to Intron in a ncRNA,135847442,,135847442,,Splice Junction ,1
1,Intron in a ncRNA,135848566,1124.0,135847442,1.0,Intron,1
1,Splice Junction Intron in a ncRNA to Exon in a ncRNA,135848567,,135848566,,Splice Junction ,2
2,Exon in a ncRNA,135848700,133.0,135848567,2.0,Exon,2
2,Splice Junction Exon in a ncRNA to Intron in a ncRNA,135848700,,135848700,,Splice Junction ,3
3,Intron in a ncRNA,135851183,2483.0,135848700,2.0,Intron,2
3,Splice Junction Intron in a ncRNA to Exon in a ncRNA,135851184,,135851183,,Splice Junction ,4
4,Exon in a ncRNA,135851263,79.0,135851184,3.0,Exon,3
4,Splice Junction Exon in a ncRNA to Intron in a ncRNA,135851263,,135851263,,Splice Junction ,5
5,Intron in a ncRNA,135870719,19456.0,135851263,3.0,Intron,3
5,Splice Junction Intron in a ncRNA to Exon in a ncRNA,135870720,,135870719,,Splice Junction ,6
6,Exon in a ncRNA,135870840,120.0,135870720,4.0,Exon,4
6,Splice Junction Exon in a ncRNA to Intron in a ncRNA,135870840,,135870840,,Splice Junction ,7
7,Intron in a ncRNA,135872784,1944.0,135870840,4.0,Intron,4
7,Splice Junction Intron in a ncRNA to Exon in a ncRNA,135872785,,135872784,,Splice Junction ,8
8,Exon in a ncRNA,135872951,166.0,135872785,5.0,Exon,5
8,Splice Junction Exon in a ncRNA to Intron in a ncRNA,135872951,,135872951,,Splice Junction ,9
9,Intron in a ncRNA,135878387,5436.0,135872951,5.0,Intron,5
9,Splice Junction Intron in a ncRNA to Exon in a ncRNA,135878388,,135878387,,Splice Junction ,10
10,Exon in a ncRNA,135878488,100.0,135878388,6.0,Exon,6
10,Splice Junction Exon in a ncRNA to Intron in a ncRNA,135878488,,135878488,,Splice Junction ,11
11,Intron in a ncRNA,135881733,3245.0,135878488,6.0,Intron,6
11,Splice Junction Intron in a ncRNA to Exon in a ncRNA,135881734,,135881733,,Splice Junction ,12
12,Exon in a ncRNA,135881816,82.0,135881734,7.0,Exon,7
12,Splice Junction Exon in a ncRNA to Intron in a ncRNA,135881816,,135881816,,Splice Junction ,13
