,ClusterEnd,ClusterID,ClusterStart,ConversionEventCount,Dataset
0,5790,G3013.1,5766,41,MiSeqSFPQc.csv
1,37351,G3024.1,37333,57,MiSeqSFPQc.csv
2,42024,G3031.1,42006,35,MiSeqSFPQc.csv
3,47523,G3034.1,47473,80,MiSeqSFPQc.csv
4,50505,G3035.1,50496,19,MiSeqSFPQc.csv
5,50535,G3035.2,50516,54,MiSeqSFPQc.csv
6,51370,G3037.1,51346,104,MiSeqSFPQc.csv
7,51498,G3038.1,51480,25,MiSeqSFPQc.csv
8,53993,G3042.1,53976,45,MiSeqSFPQc.csv
9,55888,G3046.1,55871,29,MiSeqSFPQc.csv
10,56236,G3048.1,56214,65,MiSeqSFPQc.csv
11,56256,G3048.2,56239,61,MiSeqSFPQc.csv
12,58822,G3050.1,58802,127,MiSeqSFPQc.csv
13,59157,G3051.1,59138,39,MiSeqSFPQc.csv
14,59495,G3053.1,59475,56,MiSeqSFPQc.csv
15,60073,G3056.1,60050,19,MiSeqSFPQc.csv
16,62393,G3059.1,62357,76,MiSeqSFPQc.csv
17,7654,G2412.1,7632,36,MiSeqNONOc.csv
18,32015,G2422.1,32003,20,MiSeqNONOc.csv
19,37125,G2430.1,37114,109,MiSeqNONOc.csv
20,38543,G2434.1,38517,139,MiSeqNONOc.csv
21,41697,G2438.1,41660,82,MiSeqNONOc.csv
22,42024,G2439.1,42005,48,MiSeqNONOc.csv
23,47523,G2443.1,47488,83,MiSeqNONOc.csv
24,48395,G2444.1,48371,19,MiSeqNONOc.csv
25,50531,G2446.1,50512,46,MiSeqNONOc.csv
26,51371,G2449.1,51338,150,MiSeqNONOc.csv
27,54505,G2457.1,54488,20,MiSeqNONOc.csv
28,54669,G2458.1,54645,42,MiSeqNONOc.csv
29,55050,G2459.1,55016,87,MiSeqNONOc.csv
30,56226,G2462.1,56213,17,MiSeqNONOc.csv
31,58499,G2466.1,58483,42,MiSeqNONOc.csv
32,58824,G2467.1,58808,30,MiSeqNONOc.csv
33,59470,G2469.1,59447,33,MiSeqNONOc.csv
34,59495,G2469.2,59477,21,MiSeqNONOc.csv
35,61152,G2472.1,61129,72,MiSeqNONOc.csv
36,62370,G2475.1,62347,45,MiSeqNONOc.csv
37,62394,G2475.2,62374,51,MiSeqNONOc.csv
38,62419,G2475.3,62398,55,MiSeqNONOc.csv
