,feature_classification,feature_end,feature_length,feature_start,feature_subtype_index,feature_type,feature_type_index
0,Exon in a ncRNA,44836392,152.0,44836240,1.0,Exon,1
0,Splice Junction Exon in a ncRNA to Intron in a ncRNA,44836392,,44836392,,Splice Junction ,1
1,Intron in a ncRNA,44838345,1953.0,44836392,1.0,Intron,1
1,Splice Junction Intron in a ncRNA to Exon in a ncRNA,44838346,,44838345,,Splice Junction ,2
2,Exon in a ncRNA,44838413,67.0,44838346,2.0,Exon,2
2,Splice Junction Exon in a ncRNA to Intron in a ncRNA,44838413,,44838413,,Splice Junction ,3
3,Intron in a ncRNA,44838844,431.0,44838413,2.0,Intron,2
3,Splice Junction Intron in a ncRNA to Exon in a ncRNA,44838845,,44838844,,Splice Junction ,4
4,Exon in a ncRNA,44838876,31.0,44838845,3.0,Exon,3
4,Splice Junction Exon in a ncRNA to Intron in a ncRNA,44838876,,44838876,,Splice Junction ,5
5,Intron in a ncRNA,44838989,113.0,44838876,3.0,Intron,3
5,Splice Junction Intron in a ncRNA to Exon in a ncRNA,44838990,,44838989,,Splice Junction ,6
6,Exon in a ncRNA,44839079,89.0,44838990,4.0,Exon,4
6,Splice Junction Exon in a ncRNA to Intron in a ncRNA,44839079,,44839079,,Splice Junction ,7
7,Intron in a ncRNA,44839299,220.0,44839079,4.0,Intron,4
7,Splice Junction Intron in a ncRNA to Exon in a ncRNA,44839300,,44839299,,Splice Junction ,8
8,Exon in a ncRNA,44839473,173.0,44839300,5.0,Exon,5
8,Splice Junction Exon in a ncRNA to Intron in a ncRNA,44839473,,44839473,,Splice Junction ,9
9,Intron in a ncRNA,44840884,1411.0,44839473,5.0,Intron,5
9,Splice Junction Intron in a ncRNA to Exon in a ncRNA,44840885,,44840884,,Splice Junction ,10
10,Exon in a ncRNA,44842716,1831.0,44840885,6.0,Exon,6
