,feature_end,feature_start,feature_type
0,64777704,64444562,Untranslated Transcript
1,64447772,64444562,Exon
2,64466600,64466443,Exon
3,64468835,64468658,Exon
4,64484047,64483842,Exon
5,64492978,64492848,Exon
6,64510759,64510620,Exon
7,64511314,64511150,Exon
8,64520227,64520146,Exon
9,64520874,64520750,Exon
10,64522046,64521912,Exon
11,64538033,64537930,Exon
12,64556490,64556426,Exon
13,64558789,64558630,Exon
14,64569270,64569166,Exon
15,64587297,64587155,Exon
16,64593071,64592934,Exon
17,64595958,64595811,Exon
18,64625310,64625204,Exon
19,64629912,64629868,Exon
20,64747447,64747301,Exon
21,64748048,64747959,Exon
22,64748745,64748533,Exon
23,64756165,64755996,Exon
24,64766969,64766604,Exon
25,64769779,64769403,Exon
26,64777704,64777169,Exon
