,feature_classification,feature_end,feature_length,feature_start,feature_subtype_index,feature_type,feature_type_index
0,Exon in a ncRNA,56591281,98.0,56591183,1.0,Exon,1
0,Splice Junction Exon in a ncRNA to Intron in a ncRNA,56591281,,56591281,,Splice Junction ,1
1,Intron in a ncRNA,56592872,1591.0,56591281,1.0,Intron,1
1,Splice Junction Intron in a ncRNA to Exon in a ncRNA,56592873,,56592872,,Splice Junction ,2
2,Exon in a ncRNA,56592938,65.0,56592873,2.0,Exon,2
2,Splice Junction Exon in a ncRNA to Intron in a ncRNA,56592938,,56592938,,Splice Junction ,3
3,Intron in a ncRNA,56593595,657.0,56592938,2.0,Intron,2
3,Splice Junction Intron in a ncRNA to Exon in a ncRNA,56593596,,56593595,,Splice Junction ,4
4,Exon in a ncRNA,56593622,26.0,56593596,3.0,Exon,3
4,Splice Junction Exon in a ncRNA to Intron in a ncRNA,56593622,,56593622,,Splice Junction ,5
5,Intron in a ncRNA,56597710,4088.0,56593622,3.0,Intron,3
5,Splice Junction Intron in a ncRNA to Exon in a ncRNA,56597711,,56597710,,Splice Junction ,6
6,Exon in a ncRNA,56598153,442.0,56597711,4.0,Exon,4
6,Splice Junction Exon in a ncRNA to Intron in a ncRNA,56598153,,56598153,,Splice Junction ,7
7,Intron in a ncRNA,56600620,2467.0,56598153,4.0,Intron,4
7,Splice Junction Intron in a ncRNA to Exon in a ncRNA,56600621,,56600620,,Splice Junction ,8
8,Exon in a ncRNA,56600787,166.0,56600621,5.0,Exon,5
8,Splice Junction Exon in a ncRNA to Intron in a ncRNA,56600787,,56600787,,Splice Junction ,9
9,Intron in a ncRNA,56600976,189.0,56600787,5.0,Intron,5
9,Splice Junction Intron in a ncRNA to Exon in a ncRNA,56600977,,56600976,,Splice Junction ,10
10,Exon in a ncRNA,56601081,104.0,56600977,6.0,Exon,6
10,Splice Junction Exon in a ncRNA to Intron in a ncRNA,56601081,,56601081,,Splice Junction ,11
11,Intron in a ncRNA,56605207,4126.0,56601081,6.0,Intron,6
11,Splice Junction Intron in a ncRNA to Exon in a ncRNA,56605208,,56605207,,Splice Junction ,12
12,Exon in a ncRNA,56605330,122.0,56605208,7.0,Exon,7
12,Splice Junction Exon in a ncRNA to Intron in a ncRNA,56605330,,56605330,,Splice Junction ,13
13,Intron in a ncRNA,56606363,1033.0,56605330,7.0,Intron,7
13,Splice Junction Intron in a ncRNA to Exon in a ncRNA,56606364,,56606363,,Splice Junction ,14
14,Exon in a ncRNA,56606456,92.0,56606364,8.0,Exon,8
14,Splice Junction Exon in a ncRNA to Intron in a ncRNA,56606456,,56606456,,Splice Junction ,15
15,Intron in a ncRNA,56626996,20540.0,56606456,8.0,Intron,8
15,Splice Junction Intron in a ncRNA to Exon in a ncRNA,56626997,,56626996,,Splice Junction ,16
16,Exon in a ncRNA,56627129,132.0,56626997,9.0,Exon,9
16,Splice Junction Exon in a ncRNA to Intron in a ncRNA,56627129,,56627129,,Splice Junction ,17
17,Intron in a ncRNA,56627517,388.0,56627129,9.0,Intron,9
17,Splice Junction Intron in a ncRNA to Exon in a ncRNA,56627518,,56627517,,Splice Junction ,18
18,Exon in a ncRNA,56627769,251.0,56627518,10.0,Exon,10
18,Splice Junction Exon in a ncRNA to Intron in a ncRNA,56627769,,56627769,,Splice Junction ,19
19,Intron in a ncRNA,56627970,201.0,56627769,10.0,Intron,10
19,Splice Junction Intron in a ncRNA to Exon in a ncRNA,56627971,,56627970,,Splice Junction ,20
20,Exon in a ncRNA,56628056,85.0,56627971,11.0,Exon,11
20,Splice Junction Exon in a ncRNA to Intron in a ncRNA,56628056,,56628056,,Splice Junction ,21
21,Intron in a ncRNA,56647637,19581.0,56628056,11.0,Intron,11
21,Splice Junction Intron in a ncRNA to Exon in a ncRNA,56647638,,56647637,,Splice Junction ,22
22,Exon in a ncRNA,56647778,140.0,56647638,12.0,Exon,12
22,Splice Junction Exon in a ncRNA to Intron in a ncRNA,56647778,,56647778,,Splice Junction ,23
23,Intron in a ncRNA,56649154,1376.0,56647778,12.0,Intron,12
23,Splice Junction Intron in a ncRNA to Exon in a ncRNA,56649155,,56649154,,Splice Junction ,24
24,Exon in a ncRNA,56649300,145.0,56649155,13.0,Exon,13
24,Splice Junction Exon in a ncRNA to Intron in a ncRNA,56649300,,56649300,,Splice Junction ,25
25,Intron in a ncRNA,56649948,648.0,56649300,13.0,Intron,13
25,Splice Junction Intron in a ncRNA to Exon in a ncRNA,56649949,,56649948,,Splice Junction ,26
26,Exon in a ncRNA,56650081,132.0,56649949,14.0,Exon,14
26,Splice Junction Exon in a ncRNA to Intron in a ncRNA,56650081,,56650081,,Splice Junction ,27
27,Intron in a ncRNA,56651138,1057.0,56650081,14.0,Intron,14
27,Splice Junction Intron in a ncRNA to Exon in a ncRNA,56651139,,56651138,,Splice Junction ,28
28,Exon in a ncRNA,56651633,494.0,56651139,15.0,Exon,15
28,Splice Junction Exon in a ncRNA to Intron in a ncRNA,56651633,,56651633,,Splice Junction ,29
29,Intron in a ncRNA,56652198,565.0,56651633,15.0,Intron,15
29,Splice Junction Intron in a ncRNA to Exon in a ncRNA,56652199,,56652198,,Splice Junction ,30
30,Exon in a ncRNA,56652240,41.0,56652199,16.0,Exon,16
30,Splice Junction Exon in a ncRNA to Intron in a ncRNA,56652240,,56652240,,Splice Junction ,31
31,Intron in a ncRNA,56653297,1057.0,56652240,16.0,Intron,16
31,Splice Junction Intron in a ncRNA to Exon in a ncRNA,56653298,,56653297,,Splice Junction ,32
32,Exon in a ncRNA,56653555,257.0,56653298,17.0,Exon,17
32,Splice Junction Exon in a ncRNA to Intron in a ncRNA,56653555,,56653555,,Splice Junction ,33
33,Intron in a ncRNA,56653803,248.0,56653555,17.0,Intron,17
33,Splice Junction Intron in a ncRNA to Exon in a ncRNA,56653804,,56653803,,Splice Junction ,34
34,Exon in a ncRNA,56653929,125.0,56653804,18.0,Exon,18
34,Splice Junction Exon in a ncRNA to Intron in a ncRNA,56653929,,56653929,,Splice Junction ,35
35,Intron in a ncRNA,56655558,1629.0,56653929,18.0,Intron,18
35,Splice Junction Intron in a ncRNA to Exon in a ncRNA,56655559,,56655558,,Splice Junction ,36
36,Exon in a ncRNA,56655848,289.0,56655559,19.0,Exon,19
