,feature_classification,feature_end,feature_length,feature_start,feature_subtype_index,feature_type,feature_type_index
0,Exon in a ncRNA,67773650,604.0,67773046,1.0,Exon,1
0,Splice Junction Exon in a ncRNA to Splice Junction Exon in a ncRNA to Intron in a ncRNA,67773650,,67773650,,Splice Junction ,1
1,Splice Junction Splice Junction Exon in a ncRNA to Intron in a ncRNA to Intron in a ncRNA,67773650,,67773650,,Splice Junction ,2
1,Splice Junction Exon in a ncRNA to Intron in a ncRNA,67773650,,67773650,,Splice Junction ,1
2,Intron in a ncRNA,67786014,12364.0,67773650,1.0,Intron,1
2,Splice Junction Intron in a ncRNA to Splice Junction Intron in a ncRNA to Exon in a ncRNA,67786014,,67786014,,Splice Junction ,3
3,Splice Junction Intron in a ncRNA to Exon in a ncRNA,67786015,,67786014,,Splice Junction ,2
3,Splice Junction Splice Junction Intron in a ncRNA to Exon in a ncRNA to Exon in a ncRNA,67786015,,67786015,,Splice Junction ,4
4,Exon in a ncRNA,67786127,112.0,67786015,2.0,Exon,2
4,Splice Junction Exon in a ncRNA to Splice Junction Exon in a ncRNA to Intron in a ncRNA,67786127,,67786127,,Splice Junction ,5
5,Splice Junction Splice Junction Exon in a ncRNA to Intron in a ncRNA to Intron in a ncRNA,67786127,,67786127,,Splice Junction ,6
5,Splice Junction Exon in a ncRNA to Intron in a ncRNA,67786127,,67786127,,Splice Junction ,3
6,Intron in a ncRNA,67787283,1156.0,67786127,2.0,Intron,2
6,Splice Junction Intron in a ncRNA to Splice Junction Intron in a ncRNA to Exon in a ncRNA,67787283,,67787283,,Splice Junction ,7
7,Splice Junction Intron in a ncRNA to Exon in a ncRNA,67787284,,67787283,,Splice Junction ,4
7,Splice Junction Splice Junction Intron in a ncRNA to Exon in a ncRNA to Exon in a ncRNA,67787284,,67787284,,Splice Junction ,8
8,Exon in a ncRNA,67787572,288.0,67787284,3.0,Exon,3
8,Splice Junction Exon in a ncRNA to Splice Junction Exon in a ncRNA to Intron in a ncRNA,67787572,,67787572,,Splice Junction ,9
9,Splice Junction Splice Junction Exon in a ncRNA to Intron in a ncRNA to Intron in a ncRNA,67787572,,67787572,,Splice Junction ,10
9,Splice Junction Exon in a ncRNA to Intron in a ncRNA,67787572,,67787572,,Splice Junction ,5
10,Intron in a ncRNA,67792416,4844.0,67787572,3.0,Intron,3
10,Splice Junction Intron in a ncRNA to Splice Junction Intron in a ncRNA to Exon in a ncRNA,67792416,,67792416,,Splice Junction ,11
11,Splice Junction Intron in a ncRNA to Exon in a ncRNA,67792417,,67792416,,Splice Junction ,6
11,Splice Junction Splice Junction Intron in a ncRNA to Exon in a ncRNA to Exon in a ncRNA,67792417,,67792417,,Splice Junction ,12
12,Exon in a ncRNA,67792532,115.0,67792417,4.0,Exon,4
12,Splice Junction Exon in a ncRNA to Splice Junction Exon in a ncRNA to Intron in a ncRNA,67792532,,67792532,,Splice Junction ,13
13,Splice Junction Splice Junction Exon in a ncRNA to Intron in a ncRNA to Intron in a ncRNA,67792532,,67792532,,Splice Junction ,14
13,Splice Junction Exon in a ncRNA to Intron in a ncRNA,67792532,,67792532,,Splice Junction ,7
14,Intron in a ncRNA,67793881,1349.0,67792532,4.0,Intron,4
14,Splice Junction Intron in a ncRNA to Splice Junction Intron in a ncRNA to Exon in a ncRNA,67793881,,67793881,,Splice Junction ,15
15,Splice Junction Intron in a ncRNA to Exon in a ncRNA,67793882,,67793881,,Splice Junction ,8
15,Splice Junction Splice Junction Intron in a ncRNA to Exon in a ncRNA to Exon in a ncRNA,67793882,,67793882,,Splice Junction ,16
16,Exon in a ncRNA,67794067,185.0,67793882,5.0,Exon,5
16,Splice Junction Exon in a ncRNA to Splice Junction Exon in a ncRNA to Intron in a ncRNA,67794067,,67794067,,Splice Junction ,17
17,Splice Junction Splice Junction Exon in a ncRNA to Intron in a ncRNA to Intron in a ncRNA,67794067,,67794067,,Splice Junction ,18
17,Splice Junction Exon in a ncRNA to Intron in a ncRNA,67794067,,67794067,,Splice Junction ,9
18,Intron in a ncRNA,67795268,1201.0,67794067,5.0,Intron,5
18,Splice Junction Intron in a ncRNA to Splice Junction Intron in a ncRNA to Exon in a ncRNA,67795268,,67795268,,Splice Junction ,19
19,Splice Junction Intron in a ncRNA to Exon in a ncRNA,67795269,,67795268,,Splice Junction ,10
19,Splice Junction Splice Junction Intron in a ncRNA to Exon in a ncRNA to Exon in a ncRNA,67795269,,67795269,,Splice Junction ,20
20,Exon in a ncRNA,67795412,143.0,67795269,6.0,Exon,6
20,Splice Junction Exon in a ncRNA to Splice Junction Exon in a ncRNA to Intron in a ncRNA,67795412,,67795412,,Splice Junction ,21
21,Splice Junction Splice Junction Exon in a ncRNA to Intron in a ncRNA to Intron in a ncRNA,67795412,,67795412,,Splice Junction ,22
21,Splice Junction Exon in a ncRNA to Intron in a ncRNA,67795412,,67795412,,Splice Junction ,11
22,Intron in a ncRNA,67796341,929.0,67795412,6.0,Intron,6
22,Splice Junction Intron in a ncRNA to Splice Junction Intron in a ncRNA to Exon in a ncRNA,67796341,,67796341,,Splice Junction ,23
23,Splice Junction Intron in a ncRNA to Exon in a ncRNA,67796342,,67796341,,Splice Junction ,12
23,Splice Junction Splice Junction Intron in a ncRNA to Exon in a ncRNA to Exon in a ncRNA,67796342,,67796342,,Splice Junction ,24
24,Exon in a ncRNA,67796493,151.0,67796342,7.0,Exon,7
24,Splice Junction Exon in a ncRNA to Splice Junction Exon in a ncRNA to Intron in a ncRNA,67796493,,67796493,,Splice Junction ,25
25,Splice Junction Splice Junction Exon in a ncRNA to Intron in a ncRNA to Intron in a ncRNA,67796493,,67796493,,Splice Junction ,26
25,Splice Junction Exon in a ncRNA to Intron in a ncRNA,67796493,,67796493,,Splice Junction ,13
26,Intron in a ncRNA,67804305,7812.0,67796493,7.0,Intron,7
26,Splice Junction Intron in a ncRNA to Splice Junction Intron in a ncRNA to Exon in a ncRNA,67804305,,67804305,,Splice Junction ,27
27,Splice Junction Intron in a ncRNA to Exon in a ncRNA,67804306,,67804305,,Splice Junction ,14
27,Splice Junction Splice Junction Intron in a ncRNA to Exon in a ncRNA to Exon in a ncRNA,67804306,,67804306,,Splice Junction ,28
28,Exon in a ncRNA,67804386,80.0,67804306,8.0,Exon,8
28,Splice Junction Exon in a ncRNA to Splice Junction Exon in a ncRNA to Intron in a ncRNA,67804386,,67804386,,Splice Junction ,29
29,Splice Junction Splice Junction Exon in a ncRNA to Intron in a ncRNA to Intron in a ncRNA,67804386,,67804386,,Splice Junction ,30
29,Splice Junction Exon in a ncRNA to Intron in a ncRNA,67804386,,67804386,,Splice Junction ,15
30,Intron in a ncRNA,67816551,12165.0,67804386,8.0,Intron,8
30,Splice Junction Intron in a ncRNA to Splice Junction Intron in a ncRNA to Exon in a ncRNA,67816551,,67816551,,Splice Junction ,31
31,Splice Junction Intron in a ncRNA to Exon in a ncRNA,67816552,,67816551,,Splice Junction ,16
31,Splice Junction Splice Junction Intron in a ncRNA to Exon in a ncRNA to Exon in a ncRNA,67816552,,67816552,,Splice Junction ,32
32,Exon in a ncRNA,67816772,220.0,67816552,9.0,Exon,9
32,Splice Junction Exon in a ncRNA to Splice Junction Exon in a ncRNA to Intron in a ncRNA,67816772,,67816772,,Splice Junction ,33
33,Splice Junction Splice Junction Exon in a ncRNA to Intron in a ncRNA to Intron in a ncRNA,67816772,,67816772,,Splice Junction ,34
33,Splice Junction Exon in a ncRNA to Intron in a ncRNA,67816772,,67816772,,Splice Junction ,17
34,Intron in a ncRNA,67833506,16734.0,67816772,9.0,Intron,9
34,Splice Junction Intron in a ncRNA to Splice Junction Intron in a ncRNA to Exon in a ncRNA,67833506,,67833506,,Splice Junction ,35
35,Splice Junction Intron in a ncRNA to Exon in a ncRNA,67833507,,67833506,,Splice Junction ,18
35,Splice Junction Splice Junction Intron in a ncRNA to Exon in a ncRNA to Exon in a ncRNA,67833507,,67833507,,Splice Junction ,36
36,Exon in a ncRNA,67833708,201.0,67833507,10.0,Exon,10
36,Splice Junction Exon in a ncRNA to Splice Junction Exon in a ncRNA to Intron in a ncRNA,67833708,,67833708,,Splice Junction ,37
37,Splice Junction Splice Junction Exon in a ncRNA to Intron in a ncRNA to Intron in a ncRNA,67833708,,67833708,,Splice Junction ,38
37,Splice Junction Exon in a ncRNA to Intron in a ncRNA,67833708,,67833708,,Splice Junction ,19
38,Intron in a ncRNA,67838117,4409.0,67833708,10.0,Intron,10
38,Splice Junction Intron in a ncRNA to Splice Junction Intron in a ncRNA to Exon in a ncRNA,67838117,,67838117,,Splice Junction ,39
39,Splice Junction Intron in a ncRNA to Exon in a ncRNA,67838118,,67838117,,Splice Junction ,20
39,Splice Junction Splice Junction Intron in a ncRNA to Exon in a ncRNA to Exon in a ncRNA,67838118,,67838118,,Splice Junction ,40
40,Exon in a ncRNA,67838217,99.0,67838118,11.0,Exon,11
40,Splice Junction Exon in a ncRNA to Splice Junction Exon in a ncRNA to Intron in a ncRNA,67838217,,67838217,,Splice Junction ,41
