,ClusterEnd,ClusterID,ClusterStart,ConversionEventCount,Dataset
0,126527,G235.1,126499,1096,IonXpress_SFPQ_N
1,126582,G235.2,126528,6843,IonXpress_SFPQ_N
2,126637,G235.3,126619,1206,IonXpress_SFPQ_N
3,126700,G235.4,126688,636,IonXpress_SFPQ_N
4,126773,G235.5,126747,2515,IonXpress_SFPQ_N
5,126829,G235.6,126814,3934,IonXpress_SFPQ_N
6,126545,G168.1,126500,1607,IonXpress_NONO_N
7,126610,G168.2,126595,718,IonXpress_NONO_N
8,126742,G168.3,126620,3671,IonXpress_NONO_N
9,126780,G168.4,126745,1515,IonXpress_NONO_N
10,126830,G168.5,126814,2436,IonXpress_NONO_N
