,start_coord,end_coord,translation_status,count,length
0,1003,2471,False,1,1468
1,1616,6367,True,1,4751
2,8042,13308,True,1,5266
3,12178,17214,True,1,5036
4,15568,23088,False,1,7520
5,15857,16533,True,1,676
6,15989,17978,True,2,1989
7,16838,21814,False,1,4976
8,21991,24737,False,1,2746
9,24100,24466,True,1,366
10,24100,24484,False,1,384
11,24100,24517,False,1,417
12,24326,24710,False,1,384
13,27123,28332,True,1,1209
14,29190,29329,False,7,139
15,29190,30155,False,1,965
16,29450,29589,True,1,139
17,30229,30987,False,1,758
18,31171,31262,False,2,91
19,31549,32207,False,1,658
20,31742,32400,False,1,658
21,32073,35422,True,2,3349
22,32608,32903,False,1,295
23,33371,33458,False,1,87
24,33371,33462,False,1,91
25,33912,34088,False,4,176
26,34134,34310,True,1,176
27,34974,35145,False,1,171
28,35347,35518,False,1,171
29,35573,35744,False,1,171
30,36900,37741,False,1,841
31,40913,43162,False,1,2249
32,43883,44790,True,2,907
33,45546,49940,False,1,4394
34,48211,71797,False,1,23586
35,59495,60424,True,1,929
36,60373,60689,True,2,316
37,61545,62955,False,1,1410
38,69350,69451,False,1,101
39,69784,69885,False,1,101
40,73821,77676,False,3,3855
41,73821,77953,False,1,4132
42,74054,77676,False,1,3622
43,76992,77744,True,1,752
44,76992,95965,True,1,18973
45,76992,109618,True,1,32626
46,77804,78657,True,1,853
47,78813,79425,True,1,612
48,80183,80315,False,2,132
49,80440,84251,True,1,3811
50,87860,91890,True,1,4030
51,90958,99562,False,1,8604
52,91904,100008,True,4,8104
53,91948,93632,True,1,1684
54,93200,95352,False,1,2152
55,93376,103702,True,2,10326
56,97315,104218,False,1,6903
57,98780,99722,False,1,942
58,106611,112547,False,1,5936
59,106611,112547,True,4,5936
60,106611,138846,True,1,32235
61,107480,108264,False,1,784
62,107480,108264,True,1,784
63,108101,132648,True,1,24547
64,109264,166378,True,1,57114
65,114346,114544,True,6,198
66,115337,135188,False,1,19851
67,119400,126281,False,1,6881
68,122844,127294,False,1,4450
69,123462,123846,False,1,384
70,124608,174449,False,1,49841
71,125418,126233,True,1,815
72,125782,126223,False,1,441
73,125893,127622,True,4,1729
74,125893,131591,True,1,5698
75,133278,133454,True,1,176
76,135577,135819,False,1,242
77,136316,179978,False,1,43662
78,136758,144994,True,1,8236
79,138166,140830,False,1,2664
80,140237,141235,True,2,998
81,140237,143788,True,1,3551
82,140237,169750,True,1,29513
83,140237,186204,True,1,45967
84,145513,147577,False,1,2064
85,146009,147168,False,1,1159
86,147823,148454,False,1,631
87,148031,152663,True,1,4632
