,End_Region,Start_Region,feature_classification,feature_end,feature_length,feature_start,feature_subtype_index,feature_type,feature_type_index
0,,,5'-UTR,15711776.0,3033.0,15708743.0,1,5'-UTR,1
1,Coding_Region,5'-UTR,Exon from 5'-UTR to Coding_Region,15712063.0,3320.0,15708743.0,1,Exon,6
0,,,Translation_Start,15711776.0,,15711776.0,1,Translation_Start,1
2,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,15717403.0,5340.0,15712063.0,1,Intron,5
0,,,Splice Junction Exon from 5'-UTR to Coding_Region to Intron from Coding_Region to Coding_Region,15712063.0,,15712063.0,1,Splice Junction ,1
0,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,15717404.0,,15717403.0,1,Splice Junction ,2
3,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,15717496.0,92.0,15717404.0,1,Exon,7
4,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,15718479.0,983.0,15717496.0,2,Intron,6
0,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,15717496.0,,15717496.0,1,Splice Junction ,3
1,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,15718480.0,,15718479.0,2,Splice Junction ,4
5,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,15718563.0,83.0,15718480.0,2,Exon,8
6,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,15718985.0,422.0,15718563.0,3,Intron,7
1,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,15718563.0,,15718563.0,2,Splice Junction ,5
2,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,15718986.0,,15718985.0,3,Splice Junction ,6
7,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,15719069.0,83.0,15718986.0,3,Exon,9
8,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,15719714.0,645.0,15719069.0,4,Intron,8
2,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,15719069.0,,15719069.0,3,Splice Junction ,7
3,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,15719715.0,,15719714.0,4,Splice Junction ,8
9,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,15719861.0,146.0,15719715.0,4,Exon,10
10,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,15720806.0,945.0,15719861.0,5,Intron,9
3,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,15719861.0,,15719861.0,4,Splice Junction ,9
4,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,15720807.0,,15720806.0,5,Splice Junction ,10
11,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,15720891.0,84.0,15720807.0,5,Exon,11
4,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,15720891.0,,15720891.0,5,Splice Junction ,11
12,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,15720981.0,90.0,15720891.0,6,Intron,10
5,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,15720982.0,,15720981.0,6,Splice Junction ,12
13,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,15721070.0,88.0,15720982.0,6,Exon,12
5,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,15721070.0,,15721070.0,6,Splice Junction ,13
14,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,15726731.0,5661.0,15721070.0,7,Intron,11
6,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,15726732.0,,15726731.0,7,Splice Junction ,14
15,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,15726952.0,220.0,15726732.0,7,Exon,13
6,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,15726952.0,,15726952.0,7,Splice Junction ,15
16,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,15727507.0,555.0,15726952.0,8,Intron,12
7,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,15727508.0,,15727507.0,8,Splice Junction ,16
17,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,15727626.0,118.0,15727508.0,8,Exon,14
18,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,15727727.0,101.0,15727626.0,9,Intron,13
7,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,15727626.0,,15727626.0,8,Splice Junction ,17
8,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,15727728.0,,15727727.0,9,Splice Junction ,18
