,feature_classification,feature_end,feature_length,feature_start,feature_subtype_index,feature_type,feature_type_index
0,Exon in a ncRNA,58734111,2029.0,58732082,1.0,Exon,1
0,Splice Junction Exon in a ncRNA to Intron in a ncRNA,58734111,,58734111,,Splice Junction ,1
1,Intron in a ncRNA,58740695,6584.0,58734111,1.0,Intron,1
1,Splice Junction Intron in a ncRNA to Exon in a ncRNA,58740696,,58740695,,Splice Junction ,2
2,Exon in a ncRNA,58740728,32.0,58740696,2.0,Exon,2
2,Splice Junction Exon in a ncRNA to Intron in a ncRNA,58740728,,58740728,,Splice Junction ,3
3,Intron in a ncRNA,58752307,11579.0,58740728,2.0,Intron,2
3,Splice Junction Intron in a ncRNA to Exon in a ncRNA,58752308,,58752307,,Splice Junction ,4
4,Exon in a ncRNA,58752474,166.0,58752308,3.0,Exon,3
4,Splice Junction Exon in a ncRNA to Intron in a ncRNA,58752474,,58752474,,Splice Junction ,5
5,Intron in a ncRNA,58758351,5877.0,58752474,3.0,Intron,3
5,Splice Junction Intron in a ncRNA to Exon in a ncRNA,58758352,,58758351,,Splice Junction ,6
6,Exon in a ncRNA,58758425,73.0,58758352,4.0,Exon,4
6,Splice Junction Exon in a ncRNA to Intron in a ncRNA,58758425,,58758425,,Splice Junction ,7
7,Intron in a ncRNA,58764671,6246.0,58758425,4.0,Intron,4
7,Splice Junction Intron in a ncRNA to Exon in a ncRNA,58764672,,58764671,,Splice Junction ,8
8,Exon in a ncRNA,58764855,183.0,58764672,5.0,Exon,5
