,feature_classification,feature_end,feature_length,feature_start,feature_subtype_index,feature_type,feature_type_index
0,Exon in a ncRNA,79477355,359.0,79476996,1.0,Exon,1
0,Splice Junction Exon in a ncRNA to Intron in a ncRNA,79477355,,79477355,,Splice Junction ,1
1,Intron in a ncRNA,79477503,148.0,79477355,1.0,Intron,1
1,Splice Junction Intron in a ncRNA to Exon in a ncRNA,79477504,,79477503,,Splice Junction ,2
2,Exon in a ncRNA,79477859,355.0,79477504,2.0,Exon,2
2,Splice Junction Exon in a ncRNA to Intron in a ncRNA,79477859,,79477859,,Splice Junction ,3
3,Intron in a ncRNA,79477951,92.0,79477859,2.0,Intron,2
3,Splice Junction Intron in a ncRNA to Exon in a ncRNA,79477952,,79477951,,Splice Junction ,4
4,Exon in a ncRNA,79478134,182.0,79477952,3.0,Exon,3
4,Splice Junction Exon in a ncRNA to Intron in a ncRNA,79478134,,79478134,,Splice Junction ,5
5,Intron in a ncRNA,79478212,78.0,79478134,3.0,Intron,3
5,Splice Junction Intron in a ncRNA to Exon in a ncRNA,79478213,,79478212,,Splice Junction ,6
6,Exon in a ncRNA,79478652,439.0,79478213,4.0,Exon,4
6,Splice Junction Exon in a ncRNA to Intron in a ncRNA,79478652,,79478652,,Splice Junction ,7
7,Intron in a ncRNA,79478927,275.0,79478652,4.0,Intron,4
7,Splice Junction Intron in a ncRNA to Exon in a ncRNA,79478928,,79478927,,Splice Junction ,8
8,Exon in a ncRNA,79479168,240.0,79478928,5.0,Exon,5
8,Splice Junction Exon in a ncRNA to Intron in a ncRNA,79479168,,79479168,,Splice Junction ,9
9,Intron in a ncRNA,79479256,88.0,79479168,5.0,Intron,5
9,Splice Junction Intron in a ncRNA to Exon in a ncRNA,79479257,,79479256,,Splice Junction ,10
10,Exon in a ncRNA,79479386,129.0,79479257,6.0,Exon,6
10,Splice Junction Exon in a ncRNA to Intron in a ncRNA,79479386,,79479386,,Splice Junction ,11
11,Intron in a ncRNA,79479758,372.0,79479386,6.0,Intron,6
11,Splice Junction Intron in a ncRNA to Exon in a ncRNA,79479759,,79479758,,Splice Junction ,12
12,Exon in a ncRNA,79479892,133.0,79479759,7.0,Exon,7
