,ClusterEnd,ClusterID,ClusterStart,ConversionEventCount,Dataset
0,1886,G608.1,1865,23,MiSeqSFPQc.csv
1,2623,G610.1,2596,195,MiSeqSFPQc.csv
2,3022,G611.1,2993,64,MiSeqSFPQc.csv
3,3080,G611.2,3068,54,MiSeqSFPQc.csv
4,3145,G612.1,3124,116,MiSeqSFPQc.csv
5,3197,G612.2,3157,321,MiSeqSFPQc.csv
6,3418,G613.1,3396,133,MiSeqSFPQc.csv
7,3450,G613.2,3426,59,MiSeqSFPQc.csv
8,3544,G614.1,3511,471,MiSeqSFPQc.csv
9,3875,G616.1,3840,122,MiSeqSFPQc.csv
10,3910,G616.2,3878,297,MiSeqSFPQc.csv
11,3939,G616.3,3917,295,MiSeqSFPQc.csv
12,4064,G617.1,4044,86,MiSeqSFPQc.csv
13,4449,G619.1,4434,32,MiSeqSFPQc.csv
14,4549,G619.2,4532,46,MiSeqSFPQc.csv
15,4585,G619.3,4554,47,MiSeqSFPQc.csv
16,4699,G619.4,4677,386,MiSeqSFPQc.csv
17,5047,G621.1,5015,96,MiSeqSFPQc.csv
18,6011,G623.1,5968,383,MiSeqSFPQc.csv
19,6439,G625.1,6427,27,MiSeqSFPQc.csv
20,6499,G626.1,6489,21,MiSeqSFPQc.csv
21,6780,G627.1,6759,45,MiSeqSFPQc.csv
22,6927,G627.2,6880,195,MiSeqSFPQc.csv
23,8146,G631.1,8120,108,MiSeqSFPQc.csv
24,1646,G471.1,1610,69,MiSeqNONOc.csv
25,2329,G473.1,2318,68,MiSeqNONOc.csv
26,2662,G474.1,2642,75,MiSeqNONOc.csv
27,2764,G474.2,2692,473,MiSeqNONOc.csv
28,3021,G474.3,2955,144,MiSeqNONOc.csv
29,3172,G474.4,3155,219,MiSeqNONOc.csv
30,3404,G474.5,3387,577,MiSeqNONOc.csv
31,3448,G474.6,3417,277,MiSeqNONOc.csv
32,3521,G474.7,3502,67,MiSeqNONOc.csv
33,3589,G474.8,3567,44,MiSeqNONOc.csv
34,3684,G474.9,3650,324,MiSeqNONOc.csv
35,3718,G474.10,3701,52,MiSeqNONOc.csv
36,3912,G474.11,3843,718,MiSeqNONOc.csv
37,3985,G474.12,3958,79,MiSeqNONOc.csv
38,4112,G474.13,4079,73,MiSeqNONOc.csv
39,4241,G474.14,4223,36,MiSeqNONOc.csv
40,5672,G477.1,5649,52,MiSeqNONOc.csv
41,6013,G479.1,5991,279,MiSeqNONOc.csv
42,6431,G481.1,6394,70,MiSeqNONOc.csv
43,6602,G482.1,6565,107,MiSeqNONOc.csv
44,6619,G482.2,6606,105,MiSeqNONOc.csv
45,6665,G482.3,6641,186,MiSeqNONOc.csv
46,6699,G482.4,6682,46,MiSeqNONOc.csv
47,6771,G482.5,6746,51,MiSeqNONOc.csv
48,6803,G482.6,6793,25,MiSeqNONOc.csv
49,6861,G482.7,6851,19,MiSeqNONOc.csv
50,6921,G482.8,6883,133,MiSeqNONOc.csv
51,6995,G482.9,6985,19,MiSeqNONOc.csv
52,7025,G482.10,7009,41,MiSeqNONOc.csv
53,7128,G482.11,7054,85,MiSeqNONOc.csv
54,7435,G483.1,7418,54,MiSeqNONOc.csv
55,7485,G483.2,7440,149,MiSeqNONOc.csv
56,8125,G484.1,8106,111,MiSeqNONOc.csv
57,8146,G484.2,8129,113,MiSeqNONOc.csv
58,8196,G484.3,8181,32,MiSeqNONOc.csv
59,6501,G812.1,6487,145,HuRc_conversionc
