,feature_classification,feature_end,feature_length,feature_start,feature_subtype_index,feature_type,feature_type_index
0,Exon in a ncRNA,39700010,347.0,39699663,1.0,Exon,1
0,Splice Junction Exon in a ncRNA to Intron in a ncRNA,39700010,,39700010,,Splice Junction ,1
1,Intron in a ncRNA,39747370,47360.0,39700010,1.0,Intron,1
1,Splice Junction Intron in a ncRNA to Exon in a ncRNA,39747371,,39747370,,Splice Junction ,2
2,Exon in a ncRNA,39747430,59.0,39747371,2.0,Exon,2
2,Splice Junction Exon in a ncRNA to Intron in a ncRNA,39747430,,39747430,,Splice Junction ,3
3,Intron in a ncRNA,39757275,9845.0,39747430,2.0,Intron,2
3,Splice Junction Intron in a ncRNA to Exon in a ncRNA,39757276,,39757275,,Splice Junction ,4
4,Exon in a ncRNA,39757359,83.0,39757276,3.0,Exon,3
4,Splice Junction Exon in a ncRNA to Intron in a ncRNA,39757359,,39757359,,Splice Junction ,5
5,Intron in a ncRNA,39776452,19093.0,39757359,3.0,Intron,3
5,Splice Junction Intron in a ncRNA to Exon in a ncRNA,39776453,,39776452,,Splice Junction ,6
6,Exon in a ncRNA,39776553,100.0,39776453,4.0,Exon,4
6,Splice Junction Exon in a ncRNA to Intron in a ncRNA,39776553,,39776553,,Splice Junction ,7
7,Intron in a ncRNA,39779300,2747.0,39776553,4.0,Intron,4
7,Splice Junction Intron in a ncRNA to Exon in a ncRNA,39779301,,39779300,,Splice Junction ,8
8,Exon in a ncRNA,39779430,129.0,39779301,5.0,Exon,5
8,Splice Junction Exon in a ncRNA to Intron in a ncRNA,39779430,,39779430,,Splice Junction ,9
9,Intron in a ncRNA,39779978,548.0,39779430,5.0,Intron,5
9,Splice Junction Intron in a ncRNA to Exon in a ncRNA,39779979,,39779978,,Splice Junction ,10
10,Exon in a ncRNA,39784410,4431.0,39779979,6.0,Exon,6
