,End_Region,Start_Region,feature_classification,feature_end,feature_length,feature_start,feature_subtype_index,feature_type,feature_type_index
0,,,5'-UTR,12626012,913.0,12625099,1,5'-UTR,1
1,Coding_Region,5'-UTR,Exon from 5'-UTR to Coding_Region,12626156,1057.0,12625099,1,Exon,3
0,,,Translation_Start,12626012,,12626012,1,Translation_Start,1
2,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,12626344,188.0,12626156,1,Intron,2
0,,,Splice Junction Exon from 5'-UTR to Coding_Region to Intron from Coding_Region to Coding_Region,12626156,,12626156,1,Splice Junction ,1
0,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,12626345,,12626344,1,Splice Junction ,2
3,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,12626480,135.0,12626345,1,Exon,4
4,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,12626619,139.0,12626480,2,Intron,3
0,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,12626480,,12626480,1,Splice Junction ,3
1,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,12626620,,12626619,2,Splice Junction ,4
5,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,12626752,132.0,12626620,2,Exon,5
6,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,12627178,426.0,12626752,3,Intron,4
1,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,12626752,,12626752,2,Splice Junction ,5
2,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,12627179,,12627178,3,Splice Junction ,6
7,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,12627298,119.0,12627179,3,Exon,6
8,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,12629088,1790.0,12627298,4,Intron,5
2,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,12627298,,12627298,3,Splice Junction ,7
3,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,12629089,,12629088,4,Splice Junction ,8
9,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,12629136,47.0,12629089,4,Exon,7
10,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,12632295,3159.0,12629136,5,Intron,6
3,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,12629136,,12629136,4,Splice Junction ,9
4,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,12632296,,12632295,5,Splice Junction ,10
11,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,12632473,177.0,12632296,5,Exon,8
12,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,12633205,732.0,12632473,6,Intron,7
4,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,12632473,,12632473,5,Splice Junction ,11
5,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,12633206,,12633205,6,Splice Junction ,12
13,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,12633291,85.0,12633206,6,Exon,9
14,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,12641188,7897.0,12633291,7,Intron,8
5,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,12633291,,12633291,6,Splice Junction ,13
6,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,12641189,,12641188,7,Splice Junction ,14
15,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,12641307,118.0,12641189,7,Exon,10
16,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,12641649,342.0,12641307,8,Intron,9
6,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,12641307,,12641307,7,Splice Junction ,15
7,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,12641650,,12641649,8,Splice Junction ,16
17,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,12641778,128.0,12641650,8,Exon,11
18,Coding_Region,Coding_Region,Intron from Coding_Region to Coding_Region,12641885,107.0,12641778,9,Intron,10
7,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,12641778,,12641778,8,Splice Junction ,17
8,,,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,12641886,,12641885,9,Splice Junction ,18
19,Coding_Region,Coding_Region,Exon from Coding_Region to Coding_Region,12641914,28.0,12641886,9,Exon,12
8,,,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,12641914,,12641914,9,Splice Junction ,19
